,2,2,3,3,4,4
,0.01,0.1,0.01,0.1,0.01,0.1
Nelder-Mead,0.03598601686201933,0.009459181575159367,0.014600041126876413,0.003701418877236274,0.006169031462060457,0.0028788813489615465
Powell,0.03598601686201933,0.009459181575159367,0.014600041126876413,0.003701418877236274,0.006169031462060457,0.0028788813489615465
BFGS,0.03598601686201933,0.009459181575159367,0.014600041126876413,0.003701418877236274,0.006169031462060457,0.0028788813489615465
L-BFGS-B,0.03598601686201933,0.009459181575159367,0.014600041126876413,0.003701418877236274,0.006169031462060457,0.0028788813489615465
SLSQP,0.03598601686201933,0.009459181575159367,0.014600041126876413,0.003701418877236274,0.006169031462060457,0.0028788813489615465
CG,0.03598601686201933,0.009459181575159367,0.014600041126876413,0.003701418877236274,0.006169031462060457,0.0028788813489615465
TNC,0.03598601686201933,0.009459181575159367,0.014600041126876413,0.003701418877236274,0.006169031462060457,0.0028788813489615465
COBYLA,0.03557474809788196,0.009253547193090685,0.014394406744807731,0.003495784495167592,0.006169031462060457,0.0028788813489615465
Brent,0.03598601686201933,0.009459181575159367,0.014600041126876413,0.003701418877236274,0.006169031462060457,0.0028788813489615465
Golden,0.03598601686201933,0.009459181575159367,0.014600041126876413,0.003701418877236274,0.006169031462060457,0.0028788813489615465
