,2,2,3,3,4,4
,0.01,0.1,0.01,0.1,0.01,0.1
Nelder-Mead,223.93258047580719,229.5730767393112,279.9813646221161,280.6073869013786,321.8738403916359,329.1230747294426
Powell,356.25022427082064,363.70159620046616,426.85438915014265,435.4914881825447,488.3877311873436,501.4067987060547
BFGS,115.10048037528992,117.48932314634322,129.80543761253358,134.77802431344986,144.54427808523178,145.15430562734605
L-BFGS-B,76.97143279075623,78.60411619901657,88.53184957742691,86.46595977306366,98.10683086633682,98.90728483676911
SLSQP,106.52070810079574,109.85325183868409,127.56529407978059,125.47602622032166,138.4764105463028,139.12615458726884
CG,147.6451974248886,154.20517522335052,165.24557417154313,169.65278499126435,177.91067452669142,181.5860447692871
TNC,200.9761060142517,207.38411329746248,241.30643808841705,256.3244420456886,286.17466476440427,285.85047819852826
COBYLA,171.17184023857118,170.73366079568862,210.51668055772782,208.56670038461687,242.75334122896194,237.19302963733674
Brent,114.87308128356933,116.53239587306976,127.25008444786071,126.16389721632004,143.64970410108566,146.16085354328155
Golden,346.7581048512459,342.05925853729246,422.22821440696714,420.20250135421753,493.0025141644478,521.6897709298133
