,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,13.0,0.0,50.0,48.74624252319336,1428.71231341362
1,15.0,0.0,49.0,52.523337841033936,1441.3085632324219
2,9.0,0.0,46.0,41.6217098236084,1391.924348115921
3,14.0,0.0,47.0,49.93086075782776,1372.5635833740234
4,15.0,0.0,47.0,48.7462432384491,1351.2699196338654
5,14.0,0.0,49.0,45.254976749420166,1303.2763431072235
6,12.0,0.0,49.0,43.43070650100708,1294.4171879291534
7,16.0,0.0,49.0,49.234833002090454,1308.2325966358185
8,14.0,0.0,49.0,45.63479161262512,1295.7325384616852
9,13.0,0.0,49.0,43.44377326965332,1386.5100238323212
10,18.0,0.0,48.0,56.89465880393982,1450.6653208732605
11,15.0,0.0,50.0,51.58999466896057,1432.832100868225
12,14.0,0.0,48.0,51.9983651638031,1444.2614340782166
13,17.0,0.0,49.0,51.279719829559326,1423.1615498065948
14,18.0,0.0,49.0,56.95855402946472,1414.7429122924805
15,14.0,0.0,48.0,48.20610976219177,1419.567717552185
16,20.0,0.0,48.0,62.002413511276245,1432.8672292232513
17,13.0,0.0,49.0,46.755411863327026,1410.7132141590118
18,12.0,0.0,48.0,49.51129627227783,1439.9997732639313
19,16.0,0.0,48.0,52.963879108428955,1454.1697778701782
20,14.0,0.0,49.0,46.562726736068726,1421.5787918567657
21,17.0,0.0,48.0,56.09097146987915,1444.8833436965942
22,17.0,0.0,49.0,56.93995499610901,1431.5389139652252
23,16.0,0.0,49.0,52.97987747192383,1403.562587738037
24,14.0,0.0,50.0,51.18288254737854,1435.6693708896637
25,13.0,0.0,49.0,44.540549993515015,1428.7335624694824
26,12.0,0.0,48.0,46.45216464996338,1439.4844784736633
27,17.0,0.0,50.0,51.28846478462219,1427.1654467582703
28,14.0,0.0,47.0,49.94482159614563,1430.5015375614166
29,15.0,0.0,50.0,54.90874099731445,1417.1350769996643
30,16.0,0.0,50.0,55.26900053024292,1419.9993252754211
31,12.0,0.0,49.0,44.10425782203674,1441.8001692295074
32,17.0,0.0,47.0,55.363006830215454,1413.0017290115356
33,17.0,0.0,49.0,56.69021034240723,1322.5209736824036
34,17.0,0.0,48.0,51.04385256767273,1310.1677041053772
35,13.0,0.0,47.0,42.957813024520874,1331.8799886703491
36,15.0,0.0,49.0,44.590601682662964,1308.1612327098846
37,15.0,0.0,48.0,49.16563391685486,1339.631907939911
38,15.0,0.0,50.0,47.41928195953369,1305.2689726352692
39,14.0,0.0,48.0,45.98252081871033,1336.7828288078308
40,14.0,0.0,49.0,45.40387678146362,1324.5896530151367
41,13.0,0.0,50.0,46.918365478515625,1348.4270310401917
42,12.0,0.0,50.0,42.15321350097656,1324.0208735466003
43,15.0,0.0,49.0,48.093072175979614,1313.617767572403
44,12.0,0.0,48.0,44.54896092414856,1337.625628709793
45,14.0,0.0,48.0,45.01744771003723,1313.1120841503143
46,14.0,0.0,50.0,45.00545907020569,1312.8038098812103
47,13.0,0.0,49.0,42.49153232574463,1333.4148399829865
48,13.0,0.0,50.0,43.962077617645264,1315.5570936203003
49,13.0,0.0,48.0,46.74700474739075,1320.93297123909
50,14.0,0.0,48.0,45.3957142829895,1327.7887649536133
51,14.0,0.0,46.0,45.70824337005615,1322.0686061382294
52,16.0,0.0,47.0,50.7614164352417,1349.4870586395264
53,12.0,0.0,50.0,45.22842454910278,1336.1941301822662
54,14.0,0.0,47.0,44.306965589523315,1346.0317177772522
55,13.0,0.0,48.0,44.20733380317688,1316.9752099514008
56,13.0,0.0,49.0,43.61222529411316,1337.397302389145
57,15.0,0.0,43.0,47.56577253341675,1316.8742306232452
58,15.0,0.0,50.0,47.95343637466431,1321.374980688095
59,15.0,0.0,50.0,46.86190867424011,1387.4089798927307
60,15.0,0.0,49.0,52.99112939834595,1405.3345549106598
61,15.0,0.0,49.0,50.929030895233154,1426.2895777225494
62,16.0,0.0,47.0,53.56035780906677,1468.6559028625488
63,15.0,0.0,47.0,52.51878046989441,1453.4523119926453
64,12.0,0.0,50.0,45.217591762542725,1421.0336227416992
65,11.0,0.0,48.0,45.06064057350159,1406.2748956680298
66,18.0,0.0,48.0,53.50655460357666,1416.0786039829254
67,13.0,0.0,48.0,47.52198505401611,1436.4205565452576
68,15.0,0.0,48.0,53.23452138900757,1445.7230405807495
69,14.0,0.0,49.0,50.568114280700684,1427.3950295448303
70,15.0,0.0,48.0,48.427165508270264,1448.3296327590942
71,17.0,0.0,50.0,56.041924715042114,1445.980135679245
72,14.0,0.0,47.0,49.66980528831482,1423.2104251384735
73,14.0,0.0,50.0,51.88634467124939,1421.3163573741913
74,14.0,0.0,49.0,49.22676229476929,1399.2157871723175
75,16.0,0.0,49.0,53.921775817871094,1328.2831728458405
76,17.0,0.0,48.0,49.983689308166504,1346.3149900436401
77,15.0,0.0,50.0,49.07623291015625,1349.3136053085327
78,15.0,0.0,50.0,50.90060615539551,1366.8315362930298
79,18.0,0.0,48.0,53.591384410858154,1345.9274649620056
80,16.0,0.0,49.0,55.65666365623474,1353.4830207824707
81,15.0,0.0,49.0,49.831191301345825,1348.974526166916
82,15.0,0.0,50.0,48.15054202079773,1331.9627661705017
83,15.0,0.0,47.0,48.82823395729065,1363.9956619739532
84,14.0,0.0,50.0,46.96296262741089,1344.3306550979614
85,17.0,0.0,50.0,51.10125684738159,1353.9539697170258
86,19.0,0.0,47.0,57.2744722366333,1372.7443873882294
87,11.0,0.0,48.0,43.507659912109375,1358.1875879764557
88,11.0,0.0,49.0,42.94771647453308,1351.77295255661
