,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,10.0,0.0,1.1719002723693848,-0.9579055533940939
1,10.0,2.0,1.2500269412994385,-0.9595317735333699
2,10.0,0.0,1.1557466983795166,-0.9905251649556823
3,9.0,2.0,1.2812800407409668,-0.8808562560356538
4,10.0,4.0,1.4843859672546387,-0.936358758222334
5,10.0,1.0,1.2363808155059814,-0.897884929405569
6,10.0,1.0,1.2500519752502441,-0.9543650128218247
7,9.0,0.0,1.1250379085540771,-0.9665363729350279
8,10.0,2.0,1.2969377040863037,-0.9926183900388692
9,10.0,0.0,1.234351634979248,-0.971713402370627
10,10.0,3.0,1.453153371810913,-0.9738591712520642
11,9.0,1.0,1.2026739120483398,-0.9997063745119255
12,10.0,4.0,1.5469236373901367,-0.9159207689342761
13,10.0,2.0,1.3769829273223877,-0.9740680188296663
14,10.0,2.0,1.359454870223999,-0.9972581560403979
15,9.0,8.0,1.7656636238098145,-0.9969429331186078
16,10.0,4.0,1.4843358993530273,-0.9543475457868376
17,10.0,1.0,1.2808122634887695,-0.8752889028496436
18,9.0,3.0,1.3125073909759521,-0.9929030572156535
19,10.0,1.0,1.2187435626983643,-0.9662259706444745
20,9.0,2.0,1.2832581996917725,-1.0180208219808213
21,10.0,2.0,1.3281702995300293,-0.9231291199756532
22,10.0,2.0,1.3281583786010742,-0.9565321169060688
23,10.0,1.0,1.296905755996704,-0.9545750559859983
24,10.0,4.0,1.5000455379486084,-0.9837279882050393
25,10.0,5.0,1.5620958805084229,-0.9977783036874224
26,10.0,1.0,1.2343871593475342,-0.9254506693682797
27,10.0,2.0,1.3769583702087402,-0.9890916306131955
28,10.0,3.0,1.3906550407409668,-0.9539830852932111
29,10.0,3.0,1.4531633853912354,-0.998665287224833
30,10.0,6.0,1.6402168273925781,-0.9690160635128193
31,10.0,1.0,1.250481367111206,-0.9051985632786227
32,10.0,6.0,1.5464036464691162,-0.9807389101483553
33,10.0,1.0,1.2500576972961426,-0.983025633296493
34,8.0,1.0,1.0937469005584717,-0.9290375382567879
35,10.0,0.0,1.1577379703521729,-0.9614218734546163
36,9.0,2.0,1.218778133392334,-0.9009204240344519
37,10.0,1.0,1.2187979221343994,-0.9345785880601917
38,10.0,0.0,1.1718697547912598,-0.9748498297778974
39,9.0,3.0,1.3291456699371338,-0.9826526828433855
40,10.0,1.0,1.2656214237213135,-0.9888372537026604
41,10.0,1.0,1.296931505203247,-0.9848642233919782
42,10.0,0.0,1.2031350135803223,-0.8972442720894643
43,10.0,2.0,1.3125131130218506,-0.9692982800392784
44,10.0,0.0,1.2344300746917725,-0.9981066384724815
45,10.0,2.0,1.2964236736297607,-0.9896412553517866
46,9.0,8.0,1.7363567352294922,-0.9768147292288851
47,10.0,1.0,1.250046968460083,-0.9115573910392634
48,10.0,3.0,1.328141450881958,-0.7221993248247923
49,10.0,2.0,1.3593764305114746,-0.9325446935842763
50,8.0,3.0,1.2187535762786865,-0.9588568064193358
51,10.0,0.0,1.2495639324188232,-0.9779222523195281
52,10.0,3.0,1.390648603439331,-0.8909513688889705
