,0,1,2,3
0,73.0,22.0,5.0,1.0
1,73.0,22.0,5.0,1.0
2,74.0,21.0,5.0,1.0
3,78.0,14.0,8.0,1.0
4,78.0,14.0,8.0,1.0
5,78.0,15.0,7.0,1.0
