,0,1,2,3,4
0,92.0,8.0,0.0,0.0,0.99
1,96.0,4.0,0.0,0.0,0.99
2,97.0,3.0,0.0,0.0,1.0
3,92.0,8.0,0.0,0.0,0.99
4,95.0,5.0,0.0,0.0,0.99
5,97.0,3.0,0.0,0.0,1.0
