,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region
0,20.0,504.0,20.0,157.33862853050232,280.58720564842224,-0.9463782114294672,-0.9463782114294672,0.0,5.0
1,20.0,538.0,20.0,167.54730772972107,268.40002942085266,-0.9932054575347209,-0.9932054575347209,0.002,8.0
2,20.0,465.0,20.0,133.31637501716614,267.2810549736023,-0.9938413474189083,-0.9938413474189083,0.001,6.0
3,20.0,466.0,20.0,138.39523220062256,269.5932688713074,-0.9882943356056656,-0.9882943356056656,0.0,11.0
4,20.0,396.0,20.0,125.74516725540161,269.7628490924835,-0.949269558752235,-0.949269558752235,0.001,17.0
5,20.0,361.0,20.0,125.40163898468018,302.7049648761749,-0.9585651217177579,-0.9585651217177579,0.0,12.0
6,20.0,431.0,20.0,145.46188187599182,304.15299940109253,-0.9986716853253629,-0.9986716853253629,0.001,17.0
7,20.0,439.0,20.0,147.0707197189331,303.4889187812805,-0.9835954067111218,-0.9835954067111218,0.0,3.0
8,20.0,468.0,20.0,155.44777035713196,301.0732989311218,-0.9824704102313787,-0.9824704102313787,0.0,3.0
9,20.0,465.0,20.0,156.82271122932434,307.3837192058563,-0.9450117374847044,-0.9450117374847044,0.002,9.0
10,20.0,443.0,20.0,146.77031254768372,300.0615379810333,-0.9972528482180459,-0.9972528482180459,0.002,12.0
11,20.0,521.0,20.0,170.88873076438904,301.39840364456177,-0.9918900811412258,-0.9918900811412258,0.007,23.0
12,20.0,521.0,20.0,168.47878193855286,298.70109510421753,-0.9640255831887125,-0.9640255831887125,0.017,29.0
13,20.0,466.0,20.0,157.46970057487488,307.09766268730164,-0.9878870228701471,-0.9878870228701471,0.002,12.0
14,20.0,377.0,20.0,130.23827600479126,305.03633284568787,-0.984242674506406,-0.984242674506406,0.001,27.0
15,20.0,526.0,20.0,172.0980875492096,300.73207449913025,-0.9402848650962642,-0.9402848650962642,0.0,2.0
16,20.0,521.0,20.0,171.05438208580017,302.5518069267273,-0.9575112584708576,-0.9575112584708576,0.003,3.0
17,20.0,578.0,20.0,187.54732537269592,304.3200652599335,-0.9992033667063184,-0.9992033667063184,0.001,5.0
18,20.0,451.0,20.0,149.739164352417,304.3474974632263,-0.9582703370761437,-0.9582703370761437,0.0,1.0
19,20.0,501.0,20.0,162.96664094924927,299.02368211746216,-0.9743001265072389,-0.9743001265072389,0.0,5.0
20,20.0,396.0,20.0,134.1677761077881,299.65101432800293,-0.9950301320314299,-0.9950301320314299,0.002,20.0
21,20.0,439.0,20.0,147.93345308303833,305.1064636707306,-0.9941869119787851,-0.9941869119787851,0.002,25.0
22,20.0,504.0,20.0,166.9161729812622,303.54655742645264,-0.9830350866076051,-0.9830350866076051,0.0,13.0
23,19.0,392.0,19.0,132.35547494888306,298.71920824050903,-0.9720751689976443,-0.9720751689976443,0.002,14.0
24,20.0,632.0,20.0,201.60775709152222,301.7345006465912,-0.9457700237553414,-0.9457700237553414,0.001,11.0
25,20.0,559.0,20.0,182.86413431167603,303.1383583545685,-0.9421143266109284,-0.9421143266109284,0.001,6.0
26,20.0,438.0,20.0,147.14187097549438,305.09151244163513,-0.979209827964978,-0.979209827964978,0.005,27.0
27,20.0,622.0,20.0,202.75993609428406,306.45787286758423,-0.9951735746736868,-0.9951735746736868,0.006,2.0
28,20.0,598.0,20.0,193.3738875389099,303.36852741241455,-0.9937818767436868,-0.9937818767436868,0.0,1.0
29,20.0,396.0,20.0,135.0337142944336,301.7800986766815,-0.9864702526330751,-0.9864702526330751,0.004,18.0
30,20.0,392.0,20.0,134.76589465141296,306.1158354282379,-0.9858028233602355,-0.9858028233602355,0.001,16.0
31,20.0,381.0,20.0,129.9709701538086,301.53975653648376,-0.9864607894124324,-0.9864607894124324,0.0,6.0
32,20.0,510.0,20.0,168.84947419166565,303.05541825294495,-0.991336761121947,-0.991336761121947,0.0,10.0
33,20.0,465.0,20.0,154.72847175598145,302.2876811027527,-0.9766265514472915,-0.9766265514472915,0.0,4.0
34,20.0,432.0,20.0,145.97387528419495,303.04804730415344,-0.9786866187282732,-0.9786866187282732,0.004,10.0
35,20.0,452.0,20.0,152.42896151542664,305.69207668304443,-0.982663443995953,-0.982663443995953,0.001,7.0
36,20.0,414.0,20.0,140.24536538124084,302.7802746295929,-0.9910757662763868,-0.9910757662763868,0.001,3.0
37,20.0,630.0,20.0,201.4289927482605,303.1838083267212,-0.976783060538245,-0.976783060538245,0.005,7.0
38,20.0,458.0,20.0,155.29433131217957,305.93788051605225,-0.993098770293018,-0.993098770293018,0.0,3.0
39,20.0,428.0,20.0,142.29008889198303,299.61771392822266,-0.990047108260185,-0.990047108260185,0.0,15.0
40,20.0,439.0,20.0,146.4878227710724,305.0283987522125,-0.9910290448138638,-0.9910290448138638,0.001,10.0
41,20.0,391.0,20.0,135.17647910118103,305.91730284690857,-0.9813282609785831,-0.9813282609785831,0.0,27.0
42,20.0,479.0,20.0,160.84168362617493,303.61508989334106,-0.9794980714420807,-0.9794980714420807,0.0,6.0
43,20.0,529.0,20.0,169.8106665611267,297.74795937538147,-0.901937741866709,-0.901937741866709,0.0,4.0
44,20.0,405.0,20.0,136.9656777381897,302.0000319480896,-0.9806963893605493,-0.9806963893605493,0.001,19.0
45,20.0,474.0,20.0,158.08671307563782,303.9673523902893,-0.9877064034906343,-0.9877064034906343,0.0,4.0
46,20.0,439.0,20.0,147.82389116287231,304.44428968429565,-0.9700421272423724,-0.9700421272423724,0.003,28.0
47,20.0,406.0,20.0,138.7022523880005,302.89853167533875,-0.9947631830175366,-0.9947631830175366,0.001,26.0
48,20.0,515.0,20.0,169.56709027290344,302.91546607017517,-0.9532015245988051,-0.9532015245988051,0.0,2.0
49,20.0,528.0,20.0,172.0297417640686,299.7720277309418,-0.995357748202479,-0.995357748202479,0.0,2.0
50,20.0,546.0,20.0,178.46835446357727,304.2420332431793,-0.9497208163979509,-0.9497208163979509,0.001,7.0
51,20.0,392.0,20.0,133.23296570777893,299.6722629070282,-0.9828813706349042,-0.9828813706349042,0.003,16.0
52,20.0,496.0,20.0,163.51550459861755,303.15363216400146,-0.9708634174588996,-0.9708634174588996,0.0,7.0
53,20.0,615.0,20.0,196.5816912651062,300.6478760242462,-0.9650983773633514,-0.9650983773633514,0.001,1.0
54,20.0,340.0,20.0,119.68341279029846,299.4052734375,-0.9832052838772766,-0.9832052838772766,0.0,9.0
55,20.0,578.0,20.0,186.49521350860596,301.60196709632874,-0.983738609029937,-0.983738609029937,0.001,6.0
56,20.0,623.0,20.0,201.3277587890625,304.3492043018341,-0.9794248046727656,-0.9794248046727656,0.0,0.0
57,20.0,531.0,20.0,173.36214327812195,302.3570170402527,-0.9754640029075935,-0.9754640029075935,0.002,9.0
58,20.0,601.0,20.0,193.1313898563385,300.62643599510193,-0.9645412473337779,-0.9645412473337779,0.004,7.0
59,20.0,458.0,20.0,149.9161319732666,297.62203550338745,-0.9693239773072301,-0.9693239773072301,0.0,2.0
60,20.0,606.0,20.0,195.91756129264832,304.15806460380554,-0.998533882181983,-0.998533882181983,0.0,0.0
61,20.0,545.0,20.0,173.67625069618225,296.92449259757996,-0.9560147210821766,-0.9560147210821766,0.001,2.0
62,20.0,434.0,20.0,146.52690029144287,304.1144959926605,-0.982171813118243,-0.982171813118243,0.001,15.0
63,20.0,421.0,20.0,143.7830560207367,302.9219002723694,-0.9870522803067384,-0.9870522803067384,0.001,10.0
64,20.0,673.0,20.0,213.96369791030884,301.8202118873596,-0.9872619191537474,-0.9872619191537474,0.003,7.0
65,20.0,364.0,20.0,126.48886013031006,302.0529637336731,-0.985475251464848,-0.985475251464848,0.002,14.0
66,20.0,429.0,20.0,143.60218167304993,301.4836163520813,-0.989375107782535,-0.989375107782535,0.001,7.0
67,20.0,519.0,20.0,169.66898560523987,302.1655504703522,-0.9842679367761248,-0.9842679367761248,0.001,12.0
68,20.0,559.0,20.0,184.07151126861572,305.01310753822327,-0.9810947743649996,-0.9810947743649996,0.0,7.0
69,20.0,418.0,20.0,142.33630895614624,304.68673825263977,-0.9969897845665958,-0.9969897845665958,0.0,8.0
70,20.0,515.0,20.0,168.04042053222656,299.92590856552124,-0.9903718811861476,-0.9903718811861476,0.001,2.0
71,20.0,502.0,20.0,164.82138299942017,300.49968695640564,-0.9943808946708285,-0.9943808946708285,0.002,15.0
72,20.0,581.0,20.0,185.44968724250793,299.53153109550476,-0.9923511702340998,-0.9923511702340998,0.002,7.0
73,20.0,567.0,20.0,183.72774815559387,304.2929639816284,-0.9973100455280708,-0.9973100455280708,0.0,6.0
74,20.0,384.0,20.0,132.47456884384155,306.37975549697876,-0.9793119050837298,-0.9793119050837298,0.0,15.0
75,20.0,512.0,20.0,168.21409153938293,299.75870966911316,-0.9755943607526285,-0.9755943607526285,0.002,3.0
76,20.0,381.0,20.0,130.93955874443054,304.5457696914673,-0.9394317643680014,-0.9394317643680014,0.0,16.0
77,20.0,468.0,20.0,156.0096161365509,302.4271032810211,-0.9984156891247584,-0.9984156891247584,0.003,20.0
78,20.0,381.0,20.0,130.5554187297821,302.15441608428955,-0.9792806792958674,-0.9792806792958674,0.004,19.0
79,19.0,479.0,19.0,157.44487190246582,299.68818378448486,-0.9888143794222372,-0.9888143794222372,0.002,3.0
80,19.0,436.0,19.0,145.87388253211975,300.6134750843048,-0.9887081997739817,-0.9887081997739817,0.0,10.0
81,20.0,451.0,20.0,149.319073677063,299.0606837272644,-0.9293370785222413,-0.9293370785222413,0.001,3.0
82,20.0,485.0,20.0,163.5119230747223,306.6919083595276,-0.9706792204181061,-0.9706792204181061,0.002,19.0
83,20.0,580.0,20.0,186.58487176895142,303.0079197883606,-0.9993150353627789,-0.9993150353627789,0.002,3.0
84,20.0,549.0,20.0,177.43924403190613,301.0196750164032,-0.9977519568501696,-0.9977519568501696,0.0,4.0
85,20.0,400.0,20.0,136.0759198665619,303.84121465682983,-0.9208644830654348,-0.9208644830654348,0.0,6.0
86,20.0,335.0,20.0,119.04066252708435,307.48043966293335,-0.9840954710017573,-0.9840954710017573,0.0,31.0
87,20.0,611.0,20.0,197.04073119163513,303.2535195350647,-0.9949498008322034,-0.9949498008322034,0.0,1.0
88,20.0,476.0,20.0,157.2712368965149,302.0172040462494,-0.9824812629668935,-0.9824812629668935,0.001,9.0
