,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod,total_times_minimizer_missed,total_no_times_inequals_sat
0,46.0,0.0,1282.3888783454895,1.7396247624373e-07,0.0,954.0
1,48.0,0.0,1246.2816262245178,9.356897113458912e-08,0.0,952.0
2,50.0,0.0,1225.3633980751038,1.5074973046616307e-07,1.0,950.0
3,48.0,0.0,1289.3625512123108,7.3652274251463e-08,0.0,952.0
4,48.0,0.0,1232.8144898414612,1.4201511618389254e-07,0.0,952.0
5,46.0,0.0,1267.671387910843,1.4528349159342122e-07,0.0,954.0
6,49.0,0.0,1282.9086129665375,1.2561306040132072e-07,1.0,951.0
7,49.0,0.0,1222.9771573543549,1.0922405075157559e-07,0.0,951.0
8,49.0,0.0,1237.6771943569183,7.299915149894011e-08,0.0,951.0
9,49.0,0.0,1287.083479642868,6.655607338918185e-08,0.0,951.0
10,49.0,0.0,1238.4527595043182,1.2971108803720835e-07,0.0,951.0
11,49.0,0.0,1344.5027949810028,9.244893182165986e-08,0.0,951.0
12,49.0,0.0,1336.1404929161072,7.073546265769265e-08,0.0,951.0
13,46.0,0.0,1295.724496126175,1.0299114764754904e-07,0.0,954.0
14,50.0,0.0,1401.81259226799,8.006140865546605e-08,0.0,950.0
15,50.0,0.0,1272.8374071121216,1.3846918848032347e-07,0.0,950.0
16,48.0,0.0,1350.7818412780762,1.234422988216761e-07,0.0,952.0
17,45.0,0.0,1339.2986369132996,1.1366292419547298e-07,0.0,955.0
18,49.0,0.0,1305.0326089859009,7.618593338357076e-08,0.0,951.0
19,50.0,0.0,1438.126434803009,1.1749798469311817e-07,0.0,950.0
20,47.0,0.0,1677.5174434185028,1.7034183029275113e-07,0.0,953.0
21,50.0,0.0,1378.6397988796234,1.5711697674266103e-07,0.0,950.0
22,49.0,0.0,1280.6690673828125,1.08908958360613e-07,0.0,951.0
23,48.0,0.0,1296.626250743866,1.2910555213372756e-07,0.0,952.0
24,48.0,0.0,1283.5624046325684,1.1550939249294043e-07,0.0,952.0
25,47.0,0.0,1336.0435099601746,7.818998167150574e-08,0.0,953.0
