,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,total_times_minimizer_missed,total_no_times_inequals_sat
0,10.0,32.0,10.0,521.074667930603,519.6464159488678,-1.4952002414140675,-1.4952002414140675,0.0,958.0
1,10.0,44.0,10.0,519.133615732193,584.8197829723358,-1.433991833905214,-1.433991833905214,0.0,946.0
2,10.0,35.0,10.0,489.6073970794678,430.66505312919617,-1.594074872558963,-1.594074872558963,0.0,955.0
3,10.0,41.0,10.0,422.9642479419708,426.07626485824585,-1.5900150884611666,-1.5900150884611666,0.0,949.0
4,10.0,19.0,10.0,423.7007040977478,428.0129380226135,-1.5903237621953779,-1.5903237621953779,0.0,971.0
5,10.0,33.0,10.0,477.854346036911,470.3411717414856,-1.4936141193020718,-1.4936141193020718,0.0,957.0
6,10.0,39.0,10.0,459.1515130996704,453.4408051967621,-1.5620068166341035,-1.5620068166341035,0.0,951.0
7,10.0,39.0,10.0,454.1579580307007,452.89036798477173,-1.5528665227472846,-1.5528665227472846,0.0,951.0
8,10.0,23.0,10.0,453.3378610610962,459.5338261127472,-1.4447563872219074,-1.4447563872219074,0.0,967.0
9,10.0,37.0,10.0,521.3537769317627,459.4851977825165,-1.5600264953654055,-1.5600264953654055,0.0,953.0
10,10.0,37.0,10.0,465.36235523223877,467.8797872066498,-1.530052234167263,-1.530052234167263,0.0,953.0
11,10.0,51.0,10.0,468.8571310043335,464.5697548389435,-1.6001502223106976,-1.6001502223106976,0.0,939.0
12,10.0,51.0,10.0,470.3260860443115,467.84472584724426,-1.5644865064388505,-1.5644865064388505,0.0,939.0
13,10.0,23.0,10.0,539.9918520450592,471.56643772125244,-1.5612097719727054,-1.5612097719727054,0.0,967.0
14,10.0,28.0,10.0,470.94527292251587,469.01987886428833,-1.4383877928441287,-1.4383877928441287,0.0,962.0
15,10.0,32.0,10.0,473.6416029930115,473.28286480903625,-1.5597600658903006,-1.5597600658903006,0.0,958.0
16,10.0,38.0,10.0,471.6605167388916,534.6593301296234,-1.5912300536173756,-1.5912300536173756,0.0,952.0
17,10.0,36.0,10.0,479.8164441585541,468.49373483657837,-1.5968076870230123,-1.5968076870230123,0.0,954.0
18,10.0,33.0,10.0,469.1339671611786,469.9990780353546,-1.5786431083692427,-1.5786431083692427,0.0,957.0
19,10.0,23.0,10.0,450.61395597457886,450.1000461578369,-1.3929666243964014,-1.3929666243964014,0.0,967.0
20,10.0,43.0,10.0,473.88034415245056,537.5209920406342,-1.5083234288488783,-1.5083234288488783,0.0,947.0
21,10.0,38.0,10.0,469.0337378978729,460.4400110244751,-1.5864184301348379,-1.5864184301348379,0.0,952.0
22,10.0,52.0,10.0,469.1361451148987,456.4033887386322,-1.5569699039688054,-1.5569699039688054,0.0,938.0
23,10.0,26.0,10.0,446.5717899799347,448.7585999965668,-1.50343129086213,-1.50343129086213,0.0,964.0
24,10.0,17.0,10.0,478.3575291633606,467.916118144989,-1.5774401647804766,-1.5774401647804766,0.0,973.0
25,10.0,41.0,10.0,354.91838121414185,347.4518520832062,-1.5273876337357448,-1.5273876337357448,0.0,949.0
26,10.0,29.0,10.0,350.17166781425476,348.90412306785583,-1.5559105448228367,-1.5559105448228367,0.0,961.0
27,10.0,63.0,10.0,359.023766040802,425.8778610229492,-1.5495967858632889,-1.5495967858632889,0.0,927.0
28,10.0,50.0,10.0,429.49331498146057,435.600182056427,-1.5955931972831203,-1.5955931972831203,0.0,940.0
29,10.0,36.0,10.0,484.42685413360596,430.84858107566833,-1.5308956499058803,-1.5308956499058803,0.0,954.0
30,10.0,28.0,10.0,429.81816005706787,429.66191601753235,-1.5317532288885847,-1.5317532288885847,0.0,962.0
31,10.0,45.0,10.0,432.4293029308319,432.1435420513153,-1.5625662578791708,-1.5625662578791708,0.0,945.0
32,10.0,40.0,10.0,436.13522481918335,434.9304881095886,-1.491649963384358,-1.491649963384358,0.0,950.0
33,10.0,33.0,10.0,493.7931251525879,434.97913789749146,-1.55725748421664,-1.55725748421664,0.0,957.0
34,10.0,31.0,10.0,437.1925959587097,436.93966913223267,-1.5875777271462856,-1.5875777271462856,0.0,959.0
35,10.0,39.0,10.0,442.56946992874146,446.35690927505493,-1.588735670881322,-1.588735670881322,0.0,951.0
36,10.0,33.0,10.0,448.95601201057434,449.8086338043213,-1.5743717685210206,-1.5743717685210206,0.0,957.0
37,10.0,41.0,10.0,513.6651289463043,458.3744261264801,-1.5511531114569335,-1.5511531114569335,0.0,949.0
38,10.0,37.0,10.0,448.90247893333435,449.3384368419647,-1.4881841147063533,-1.4881841147063533,0.0,953.0
39,10.0,31.0,10.0,444.4232368469238,445.6158847808838,-1.5693118171998968,-1.5693118171998968,0.0,959.0
40,10.0,24.0,10.0,443.20606207847595,445.7646641731262,-1.4857359416914235,-1.4857359416914235,1.0,966.0
41,10.0,35.0,10.0,518.6480138301849,458.12962198257446,-1.5588391481084607,-1.5588391481084607,0.0,955.0
42,10.0,56.0,10.0,399.0714988708496,357.53690004348755,-1.5665771562915545,-1.5665771562915545,0.0,934.0
43,10.0,40.0,10.0,354.300550699234,350.70535922050476,-1.3873006986440017,-1.3873006986440017,0.0,950.0
44,10.0,31.0,10.0,351.9104709625244,353.2997989654541,-1.4591881740032804,-1.4591881740032804,0.0,959.0
45,10.0,34.0,10.0,352.44118213653564,364.3347980976105,-1.5465952944337287,-1.5465952944337287,0.0,956.0
46,10.0,32.0,10.0,400.1197929382324,356.74664402008057,-1.5962186364064295,-1.5962186364064295,0.0,958.0
47,10.0,28.0,10.0,351.73945331573486,354.4581518173218,-1.4680037355148592,-1.4680037355148592,0.0,962.0
48,10.0,37.0,10.0,356.3363287448883,352.2556698322296,-1.5661310573655918,-1.5661310573655918,0.0,953.0
49,10.0,23.0,10.0,350.46802401542664,351.3702976703644,-1.575055375200264,-1.575055375200264,0.0,967.0
50,10.0,26.0,10.0,349.4256160259247,351.2569811344147,-1.583501777624071,-1.583501777624071,0.0,964.0
51,10.0,30.0,10.0,406.0447130203247,354.82402205467224,-1.5559457836761945,-1.5559457836761945,0.0,960.0
52,10.0,29.0,10.0,352.64119601249695,352.4689910411835,-1.5637079407284398,-1.5637079407284398,0.0,961.0
