,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,total_times_minimizer_missed,total_no_times_inequals_sat
0,48.0,0.0,48.0,499.90969705581665,520.2708041667938,7.23848813602748e-08,7.23848813602748e-08,2.0,952.0
1,50.0,0.0,50.0,526.2100689411163,522.7239589691162,7.803587503870809e-08,7.803587503870809e-08,2.0,950.0
2,50.0,0.0,50.0,518.7017049789429,557.4921689033508,1.3133583127024623e-07,1.3133583127024623e-07,1.0,950.0
3,47.0,0.0,47.0,553.9652469158173,502.70358300209045,1.4650463263185928e-07,1.4650463263185928e-07,7.0,953.0
4,49.0,0.0,49.0,523.8420102596283,518.2349648475647,1.7183699126978531e-07,1.7183699126978531e-07,0.0,951.0
5,50.0,0.0,50.0,550.9907319545746,587.7371921539307,7.621354241405075e-08,7.621354241405075e-08,4.0,950.0
6,50.0,0.0,50.0,631.076388835907,550.0084738731384,1.499536555850818e-07,1.499536555850818e-07,3.0,950.0
7,48.0,0.0,48.0,554.1759750843048,557.3344810009003,1.0512768246470377e-07,1.0512768246470377e-07,0.0,952.0
8,49.0,0.0,49.0,561.7077479362488,555.1655507087708,1.5046794313393804e-07,1.5046794313393804e-07,4.0,951.0
9,49.0,0.0,49.0,593.7327570915222,571.807609796524,5.552866540326424e-08,5.552866540326424e-08,0.0,951.0
10,48.0,0.0,48.0,561.8013889789581,556.0710020065308,9.969568605195557e-08,9.969568605195557e-08,2.0,952.0
11,50.0,0.0,50.0,559.1086089611053,550.9481058120728,1.1582135196665338e-07,1.1582135196665338e-07,3.0,950.0
12,49.0,0.0,49.0,555.7174208164215,582.5943729877472,7.0294835478905e-08,7.0294835478905e-08,3.0,951.0
13,49.0,0.0,49.0,548.1470220088959,534.2926740646362,1.5938113757107298e-07,1.5938113757107298e-07,4.0,951.0
14,48.0,0.0,48.0,544.1987869739532,433.8079149723053,1.1399577141401014e-07,1.1399577141401014e-07,4.0,952.0
15,48.0,0.0,49.0,484.4877698421478,423.81176805496216,1.110364850220168e-07,1.110364850220168e-07,7.0,952.0
16,50.0,0.0,50.0,496.5011088848114,435.5395231246948,7.72671300184889e-08,1.24042788614227e-07,3.0,950.0
17,49.0,0.0,49.0,428.39570713043213,482.47259068489075,8.629563427315602e-08,8.629563427315602e-08,2.0,951.0
18,50.0,0.0,50.0,531.7983417510986,521.3904371261597,9.635585610329059e-08,9.635585610329059e-08,1.0,950.0
19,50.0,0.0,50.0,518.5682680606842,534.9125211238861,1.1861404856982431e-07,1.1861404856982431e-07,5.0,950.0
20,45.0,0.0,45.0,535.7924280166626,517.5017158985138,1.4843401358788074e-07,1.4843401358788074e-07,2.0,955.0
21,47.0,0.0,47.0,518.8572130203247,514.0859463214874,1.4239520031446226e-07,1.4239520031446226e-07,0.0,953.0
22,46.0,0.0,46.0,520.7214660644531,515.5761227607727,1.106191655466616e-07,1.106191655466616e-07,7.0,954.0
23,48.0,0.0,48.0,547.8188333511353,528.9306461811066,8.154577857864591e-08,8.154577857864591e-08,3.0,952.0
24,50.0,0.0,50.0,522.0574960708618,514.4364516735077,1.8609544827172492e-07,1.7549355435168138e-07,4.0,950.0
25,50.0,0.0,50.0,522.3095092773438,515.9690990447998,1.1599136558230709e-07,1.1599136558230709e-07,3.0,950.0
26,47.0,0.0,47.0,519.2273077964783,545.991473197937,1.3007008941597847e-07,1.3007008941597847e-07,0.0,953.0
27,49.0,0.0,49.0,527.4054911136627,516.2133901119232,1.8273990423912775e-07,1.8273990423912775e-07,1.0,951.0
28,49.0,0.0,49.0,520.9298868179321,513.5629191398621,1.218494403886406e-07,1.218494403886406e-07,2.0,951.0
29,49.0,0.0,49.0,577.9459867477417,573.4458718299866,1.0299147081812375e-07,1.0299147081812375e-07,6.0,951.0
30,48.0,0.0,48.0,550.8018670082092,562.5185220241547,7.546781640650594e-08,7.546781640650594e-08,7.0,952.0
31,50.0,0.0,50.0,565.7934679985046,526.3651428222656,8.476417893301636e-08,8.476417893301636e-08,3.0,950.0
32,50.0,0.0,50.0,527.4027779102325,520.465794801712,8.437393814140292e-08,8.437393814140292e-08,6.0,950.0
33,46.0,0.0,46.0,528.898434638977,546.9648039340973,1.0594363408889676e-07,1.0594363408889676e-07,5.0,954.0
34,48.0,0.0,48.0,540.4934737682343,534.685877084732,1.4829989480435936e-07,1.4829989480435936e-07,3.0,952.0
35,47.0,0.0,48.0,533.398875951767,531.7264938354492,1.2594088786225835e-07,1.2594088786225835e-07,3.0,953.0
36,50.0,0.0,50.0,527.6711699962616,534.1878411769867,1.6224398632831938e-07,1.6224398632831938e-07,0.0,950.0
37,49.0,0.0,49.0,555.6140279769897,532.7650110721588,1.6416447066470365e-07,1.6416447066470365e-07,2.0,951.0
38,48.0,0.0,48.0,534.7874150276184,530.6718997955322,1.6490897651933467e-07,1.6490897651933467e-07,4.0,952.0
39,49.0,0.0,49.0,537.7955958843231,532.9762082099915,9.525619754860669e-08,9.525619754860669e-08,2.0,951.0
40,49.0,0.0,49.0,559.2286672592163,534.4334321022034,5.932548164663714e-08,5.932548164663714e-08,3.0,951.0
41,50.0,0.0,50.0,538.1818652153015,532.2032001018524,9.902829718029505e-08,9.902829718029505e-08,5.0,950.0
42,49.0,0.0,49.0,539.0775520801544,534.4460089206696,1.2222440576942002e-07,1.2222440576942002e-07,2.0,951.0
43,50.0,0.0,50.0,550.2921090126038,564.2064809799194,1.6913022260476767e-07,1.6913022260476767e-07,1.0,950.0
