,Regions Missed = 0,Regions Missed = 1,Regions Missed >= 2,Min descents,Max descents,Avg descents,Total Minimizers missed,Total times sat inequality,Percentage minimizers missed
2,100.0,0.0,0.0,139.0,327.0,243.57,1.0,75643.0,0.001
3,100.0,0.0,0.0,26.0,76.0,45.64,1.0,95436.0,0.001
4,100.0,0.0,0.0,10.0,31.0,15.57,0.0,98443.0,0.0
