,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region,total_times_minimizer_missed,total_no_times_inequals_sat
0,48.0,0.0,50.0,103.63268303871155,92.88290739059448,1.456551524265463e-07,1.6022400878672623e-07,0.003,522.0,22.0,952.0
1,49.0,0.0,50.0,104.95409560203552,93.42303490638733,1.1838698137097496e-07,1.1838698137097496e-07,0.002,665.0,20.0,951.0
2,49.0,0.0,50.0,104.04154753684998,94.63442754745483,1.1645134286072987e-07,1.1645134286072987e-07,0.001,475.0,26.0,951.0
3,47.0,0.0,50.0,103.88091516494751,93.4348394870758,1.7766991487551994e-07,1.3681779051117163e-07,0.038,673.0,72.0,953.0
4,49.0,0.0,49.0,102.73602271080017,93.21138548851013,1.0843066864025428e-07,1.3622133465128989e-07,0.0,436.0,11.0,951.0
5,50.0,0.0,50.0,107.57433342933655,95.88774180412292,1.2196487379483296e-07,1.5822433250595588e-07,0.0,516.0,15.0,950.0
6,49.0,0.0,50.0,102.87898516654968,92.76326322555542,1.028342198786581e-07,1.730990646964015e-07,0.049,489.0,73.0,951.0
7,49.0,0.0,49.0,108.92134261131287,97.19109845161438,1.7816454016217855e-07,1.6442891334302563e-07,0.0,559.0,20.0,951.0
8,50.0,0.0,50.0,108.73493695259094,96.87719988822937,9.992487368717358e-08,9.296861413871763e-08,0.0,521.0,21.0,950.0
9,50.0,0.0,50.0,111.88925743103027,103.12400507926941,5.5739739008478596e-08,5.5739739008478596e-08,0.0,529.0,18.0,950.0
10,49.0,0.0,49.0,107.83258509635925,99.01278305053711,1.7101984601249713e-07,1.7101984601249713e-07,0.0,425.0,23.0,951.0
11,50.0,0.0,50.0,108.57177686691284,99.66605710983276,1.4921670630050566e-07,1.0031870475200705e-07,0.0,406.0,17.0,950.0
12,44.0,0.0,47.0,108.57476139068604,97.91399478912354,1.1513612608202993e-07,6.974089011394899e-08,0.056,644.0,85.0,956.0
13,49.0,0.0,49.0,107.04697346687317,97.62550187110901,1.6923194932558206e-07,1.652651978021056e-07,0.0,399.0,13.0,951.0
14,50.0,0.0,50.0,106.89113473892212,93.48242259025574,1.0767549434451794e-07,1.0767549434451794e-07,0.0,433.0,11.0,950.0
15,48.0,0.0,49.0,107.81663084030151,99.04588198661804,1.7033558530617316e-07,1.316412579517284e-07,0.002,511.0,26.0,952.0
16,48.0,0.0,49.0,111.14059805870056,102.91073751449585,6.259441478117418e-08,6.259441478117418e-08,0.002,497.0,29.0,952.0
17,47.0,0.0,47.0,104.22220873832703,94.40325474739075,1.305084973027276e-07,1.5014585513768103e-07,0.0,481.0,30.0,953.0
18,47.0,0.0,48.0,105.18285059928894,93.98094916343689,9.53702268148162e-08,9.53702268148162e-08,0.005,593.0,43.0,953.0
19,49.0,0.0,49.0,109.85968136787415,97.60224294662476,1.7104612543640706e-07,1.1736711583302584e-07,0.0,530.0,33.0,951.0
20,49.0,0.0,50.0,105.53688478469849,95.39001488685608,1.4989388347035054e-07,1.4989388347035054e-07,0.005,478.0,30.0,951.0
21,47.0,0.0,48.0,105.55455160140991,95.42721724510193,7.367208171213506e-08,7.367208171213506e-08,0.001,562.0,27.0,953.0
22,48.0,0.0,49.0,110.01952886581421,102.50822710990906,1.300460955729508e-07,1.300460955729508e-07,0.001,456.0,18.0,952.0
23,47.0,0.0,48.0,106.88479733467102,95.08177399635315,6.586048736654738e-08,6.586048736654738e-08,0.001,504.0,25.0,953.0
24,47.0,0.0,49.0,116.80470037460327,103.41360235214233,1.3234087811890968e-07,1.3234087811890968e-07,0.006,622.0,69.0,953.0
25,48.0,0.0,50.0,114.6928641796112,99.30125498771667,1.4481783371220772e-07,6.651491900492742e-08,0.002,484.0,22.0,952.0
26,46.0,0.0,48.0,109.80740809440613,98.32942986488342,1.2168457028060925e-07,1.2168457028060925e-07,0.004,467.0,17.0,954.0
27,49.0,0.0,49.0,113.93036437034607,96.2991235256195,1.4027959365515477e-07,1.4027959365515477e-07,0.0,414.0,16.0,951.0
28,49.0,0.0,49.0,109.94189596176147,99.1125557422638,6.910530281275406e-08,6.910530281275406e-08,0.0,533.0,28.0,951.0
29,48.0,0.0,48.0,107.5043408870697,100.00295281410217,9.614343296191246e-08,9.614343296191246e-08,0.0,487.0,14.0,952.0
30,50.0,0.0,50.0,109.32549095153809,100.52607870101929,1.2082006045252865e-07,1.2082006045252865e-07,0.0,574.0,17.0,950.0
31,48.0,0.0,48.0,116.8452320098877,105.45194888114929,8.518620033589286e-08,8.518620033589286e-08,0.0,419.0,15.0,952.0
32,47.0,0.0,48.0,110.13364219665527,99.33130645751953,1.5189290229485824e-07,1.5189290229485824e-07,0.002,578.0,26.0,953.0
