,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod,total_times_minimizer_missed,total_no_times_inequals_sat
0,48.0,0.0,570.1569027900696,7.238489233223392e-08,0.0,952.0
1,50.0,0.0,623.6370122432709,7.803587095610604e-08,0.0,950.0
2,50.0,0.0,509.4320604801178,1.3133591640695319e-07,0.0,950.0
3,47.0,0.0,585.4451148509979,1.4650463310596405e-07,0.0,953.0
4,49.0,0.0,616.0387117862701,1.7183694625715404e-07,0.0,951.0
5,50.0,0.0,558.2308580875397,7.621351941858735e-08,0.0,950.0
6,50.0,0.0,604.9042320251465,1.4995369814258723e-07,0.0,950.0
7,48.0,0.0,499.8265161514282,1.0512768603559559e-07,0.0,952.0
8,49.0,0.0,612.7602596282959,1.50467942308054e-07,0.0,951.0
9,49.0,0.0,659.7569127082825,5.552866785980148e-08,0.0,951.0
10,48.0,0.0,557.8331592082977,9.969566607398711e-08,0.0,952.0
11,50.0,0.0,610.2721230983734,1.158213670149483e-07,0.0,950.0
12,49.0,0.0,608.1628966331482,7.029483544227001e-08,0.0,951.0
13,49.0,0.0,531.2775604724884,1.5938114529322598e-07,0.0,951.0
14,48.0,0.0,624.7106800079346,1.1399574125426012e-07,0.0,952.0
15,49.0,0.0,649.3523349761963,1.1103650823676959e-07,0.0,951.0
16,50.0,0.0,576.2877414226532,1.2404284358585593e-07,0.0,950.0
17,49.0,0.0,460.05654311180115,8.62956424726025e-08,0.0,951.0
18,50.0,0.0,274.57894563674927,9.635587500770755e-08,0.0,950.0
19,50.0,0.0,278.5908489227295,1.1861407407605892e-07,0.0,950.0
20,45.0,0.0,279.16545963287354,1.4843395790920492e-07,0.0,955.0
21,47.0,0.0,278.53308057785034,1.4239520712623465e-07,0.0,953.0
22,46.0,0.0,276.2855293750763,1.1061915757525003e-07,0.0,954.0
23,48.0,0.0,295.44762659072876,8.154578034437615e-08,0.0,952.0
24,50.0,0.0,304.38816833496094,1.75493527138814e-07,0.0,950.0
25,50.0,0.0,285.36330676078796,1.1599136852245763e-07,0.0,950.0
26,47.0,0.0,279.9784622192383,1.3007007463097292e-07,0.0,953.0
27,49.0,0.0,285.9257571697235,1.8273995756029425e-07,0.0,951.0
28,49.0,0.0,244.4996452331543,1.2184945174939577e-07,0.0,951.0
29,49.0,0.0,281.16356921195984,1.0299149245031753e-07,0.0,951.0
30,48.0,0.0,293.9096438884735,7.546781956878169e-08,0.0,952.0
31,50.0,0.0,280.8054139614105,8.476418778576927e-08,0.0,950.0
32,50.0,0.0,296.3845446109772,8.437396671358035e-08,0.0,950.0
33,46.0,0.0,293.5880970954895,1.0594382221854964e-07,0.0,954.0
34,48.0,0.0,288.4660654067993,1.4829987977815293e-07,0.0,952.0
35,48.0,0.0,314.1930446624756,1.2594086625281664e-07,0.0,952.0
36,50.0,0.0,292.21652245521545,1.6224399417671612e-07,0.0,950.0
37,49.0,0.0,295.1601309776306,1.6416451378363094e-07,0.0,951.0
38,48.0,0.0,294.3920466899872,1.6490896752239473e-07,0.0,952.0
39,49.0,0.0,303.1903464794159,9.525625074440073e-08,0.0,951.0
40,49.0,0.0,307.45654678344727,5.932547226415126e-08,0.0,951.0
41,50.0,0.0,251.85327410697937,9.902831079585984e-08,0.0,950.0
42,49.0,0.0,296.0477821826935,1.2222439770042677e-07,0.0,951.0
43,50.0,0.0,298.2774314880371,1.691301351277914e-07,0.0,950.0
44,50.0,0.0,261.93565607070923,1.4362572953738278e-07,0.0,950.0
45,48.0,0.0,294.0804877281189,8.708291772997284e-08,0.0,952.0
46,49.0,0.0,285.4756495952606,1.6301327588402287e-07,0.0,951.0
47,50.0,0.0,268.54122948646545,1.0570500579930584e-07,0.0,950.0
48,50.0,0.0,277.8177864551544,7.78049909694222e-08,0.0,950.0
49,48.0,0.0,278.9692952632904,4.956392423857303e-08,0.0,952.0
50,49.0,0.0,280.834819316864,1.5891723081814654e-07,0.0,951.0
51,48.0,0.0,281.57139706611633,1.0240127469272633e-07,0.0,952.0
52,48.0,0.0,311.57331800460815,1.30237946700038e-07,0.0,952.0
53,50.0,0.0,307.72623586654663,1.449541204127055e-07,0.0,950.0
54,48.0,0.0,256.0147614479065,1.2718180392139453e-07,0.0,952.0
55,47.0,0.0,298.25299763679504,1.3568438693923638e-07,0.0,953.0
56,48.0,0.0,295.702271938324,9.838075712632609e-08,0.0,952.0
57,49.0,0.0,269.3713438510895,1.3954066593952187e-07,0.0,951.0
58,47.0,0.0,307.4021303653717,1.3058428291205505e-07,0.0,953.0
59,47.0,0.0,297.49815034866333,1.7418233387458945e-07,0.0,953.0
60,50.0,0.0,295.7839448451996,1.7188658405228865e-07,0.0,950.0
61,48.0,0.0,301.1353051662445,1.4418522211636242e-07,0.0,952.0
62,50.0,0.0,297.56597352027893,1.311288417268035e-07,0.0,950.0
63,48.0,0.0,289.62809705734253,9.26338290429751e-08,0.0,952.0
64,49.0,0.0,296.5941786766052,1.1457149265722391e-07,0.0,951.0
65,47.0,0.0,292.82217144966125,8.688925768532881e-08,0.0,953.0
66,49.0,0.0,319.9674048423767,6.162185256363272e-08,0.0,951.0
67,48.0,0.0,243.03662395477295,1.5809170260894362e-07,0.0,952.0
68,49.0,0.0,299.2817144393921,1.1506626809970155e-07,0.0,951.0
69,49.0,0.0,294.9186341762543,1.0474915009537538e-07,0.0,951.0
70,47.0,0.0,260.3987629413605,7.342376299063138e-08,0.0,953.0
71,50.0,0.0,297.0764298439026,7.356087061981157e-08,0.0,950.0
72,49.0,0.0,299.2005681991577,1.782431548881168e-07,0.0,951.0
73,46.0,0.0,292.8229169845581,9.245809802618481e-08,0.0,954.0
74,49.0,0.0,298.4106924533844,1.1011268899189106e-07,0.0,951.0
75,49.0,0.0,295.24083042144775,1.1587624630703405e-07,0.0,951.0
76,50.0,0.0,296.6610906124115,1.637256085713541e-07,0.0,950.0
77,48.0,0.0,306.3151309490204,7.269497084351175e-08,0.0,952.0
78,49.0,0.0,315.2855980396271,7.982531620394764e-08,0.0,951.0
79,50.0,0.0,297.8949704170227,9.645318961256427e-08,0.0,950.0
80,50.0,0.0,238.90355277061462,9.715033902833085e-08,0.0,950.0
81,48.0,0.0,296.2958769798279,1.7138870784372954e-07,0.0,952.0
82,49.0,0.0,295.5641973018646,8.805702558669976e-08,0.0,951.0
83,49.0,0.0,265.14601159095764,1.4141340731656148e-07,0.0,951.0
84,50.0,0.0,296.71205163002014,1.5923945298585727e-07,0.0,950.0
85,50.0,0.0,296.610657453537,1.0376367799149014e-07,0.0,950.0
86,50.0,0.0,295.4764895439148,6.786976522026756e-08,0.0,950.0
87,50.0,0.0,294.5792980194092,1.303459227566231e-07,0.0,950.0
88,45.0,0.0,292.50801277160645,1.0661155328420214e-07,0.0,955.0
89,50.0,0.0,294.95343351364136,1.6589812718350265e-07,0.0,950.0
90,46.0,0.0,297.9672751426697,1.5868670202469943e-07,0.0,954.0
91,49.0,0.0,301.51450967788696,1.7381496693569155e-07,0.0,951.0
92,50.0,0.0,315.0469560623169,1.1227846407529743e-07,0.0,950.0
93,49.0,0.0,249.6754777431488,1.6883526433141942e-07,0.0,951.0
94,50.0,0.0,294.9027171134949,8.565159699706879e-08,0.0,950.0
95,50.0,0.0,297.1040828227997,1.5580956064784426e-07,0.0,950.0
96,49.0,0.0,275.09383964538574,1.6468538101246017e-07,0.0,951.0
97,50.0,0.0,298.20176434516907,1.0472964961478605e-07,0.0,950.0
98,49.0,0.0,318.1196708679199,1.7307958701797054e-07,0.0,951.0
99,49.0,0.0,284.5394003391266,1.767011507777975e-07,0.0,951.0
