,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod,total_times_minimizer_missed,total_no_times_inequals_sat
33,50.0,0.0,1284.0693979263306,1.1235066469245054e-07,0.0,950.0
34,49.0,0.0,1415.0357933044434,1.256217963189723e-07,0.0,951.0
35,45.0,0.0,1721.279814004898,1.63060009390562e-07,0.0,955.0
36,49.0,0.0,1310.6888544559479,8.254488758891812e-08,0.0,951.0
37,50.0,0.0,1285.8508031368256,1.122388076770396e-07,0.0,950.0
38,48.0,0.0,1426.879543542862,1.6481108386092356e-07,0.0,952.0
39,47.0,0.0,1465.1050872802734,1.0562521021425544e-07,0.0,953.0
40,50.0,0.0,1660.6550695896149,1.477980735411631e-07,0.0,950.0
41,50.0,0.0,1307.6872487068176,1.4207471333747333e-07,0.0,950.0
42,46.0,0.0,1505.6887538433075,1.0168543731693263e-07,0.0,954.0
43,46.0,0.0,1551.657551765442,1.385129971635183e-07,0.0,954.0
44,47.0,0.0,1534.2826528549194,1.684201827878087e-07,0.0,953.0
45,49.0,0.0,1273.801022529602,9.155005186244889e-08,0.0,951.0
46,49.0,0.0,1685.7601931095123,9.955601298473623e-08,0.0,951.0
47,48.0,0.0,1653.2975721359253,1.767804058900927e-07,0.0,952.0
48,46.0,0.0,1259.5278849601746,1.2774107630740392e-07,0.0,954.0
49,49.0,0.0,1375.564204454422,1.269109984305776e-07,0.0,951.0
50,47.0,0.0,1497.4915795326233,1.3841325489166982e-07,0.0,953.0
51,47.0,0.0,1490.3464889526367,1.4176070772663975e-07,0.0,953.0
52,48.0,0.0,1311.3932287693024,9.505444902674034e-08,0.0,952.0
53,47.0,0.0,1313.318692445755,1.3727628143683287e-07,0.0,953.0
54,49.0,0.0,1374.3044986724854,5.652562178832005e-08,0.0,951.0
55,49.0,0.0,1593.7982740402222,1.3954541379536424e-07,0.0,951.0
56,48.0,0.0,1436.9198710918427,1.0323051109513658e-07,0.0,952.0
57,49.0,0.0,1688.7340862751007,8.184006764155839e-08,0.0,951.0
58,50.0,0.0,1556.2579391002655,5.676715994488548e-08,0.0,950.0
59,49.0,0.0,1555.948980808258,1.3665901737450933e-07,0.0,951.0
