9.999674015293339435e-01,9.999720584537148405e-01,9.997671537809569298e-01,9.997624968565760328e-01,9.983654195423175004e-01,9.983467918447940237e-01,9.970055976231058104e-01,9.969916268499632306e-01,9.957528849646539726e-01,9.957063157208453363e-01,9.943325230284910665e-01
9.999720584537148405e-01,9.999767153780957374e-01,9.998416645710507256e-01,9.998370076466698286e-01,9.991198412920171412e-01,9.991058705188745614e-01,9.983374779960323409e-01,9.983235072228897611e-01,9.970847653375805031e-01,9.970288822450100730e-01,9.956690603257983829e-01
9.995808768057223848e-01,9.998137230247655660e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.999906861512383172e-01,9.999860292268574202e-01,9.997205845371482935e-01,9.997205845371482935e-01,9.994132275280114275e-01,9.994039136792496336e-01,9.991291551407788241e-01
9.995762198813415988e-01,9.997904384028611924e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.999906861512383172e-01,9.999860292268574202e-01,9.997624968565760328e-01,9.997624968565760328e-01,9.995575921838181221e-01,9.995482783350564393e-01,9.994691106205817466e-01
9.982676241303193310e-01,9.987845427365950046e-01,9.999860292268574202e-01,9.999860292268574202e-01,9.999953430756191031e-01,1.000000000000000000e+00,9.999720584537148405e-01,9.999674015293339435e-01,9.997205845371482935e-01,9.997159276127673966e-01,9.995343075619138595e-01
9.982536533571767512e-01,9.987379734927864794e-01,9.999860292268574202e-01,9.999860292268574202e-01,9.999953430756191031e-01,1.000000000000000000e+00,9.999720584537148405e-01,9.999674015293339435e-01,9.997764676297186126e-01,9.997764676297186126e-01,9.996414168226736008e-01
9.970707945644378123e-01,9.977693332215671340e-01,9.997438691590525561e-01,9.997904384028611924e-01,9.999674015293339435e-01,9.999767153780957374e-01,9.999813723024765233e-01,9.999860292268574202e-01,9.999534307561913637e-01,9.999534307561913637e-01,9.997811245540995095e-01
9.970288822450100730e-01,9.977274209021393947e-01,9.997392122346717702e-01,9.997857814784804065e-01,9.999674015293339435e-01,9.999767153780957374e-01,9.999860292268574202e-01,9.999953430756191031e-01,9.999674015293339435e-01,9.999674015293339435e-01,9.998602922685740912e-01
9.961021542932185779e-01,9.967401529333966836e-01,9.992688628722047328e-01,9.994691106205817466e-01,9.997345553102908733e-01,9.998276937979081458e-01,9.999254892099062042e-01,9.999720584537148405e-01,9.999627446049531576e-01,9.999674015293339435e-01,9.999254892099062042e-01
9.960229865787438852e-01,9.966749559920645707e-01,9.992548920990620420e-01,9.994597967718200637e-01,9.997159276127673966e-01,9.998276937979081458e-01,9.999208322855253073e-01,9.999720584537148405e-01,9.999720584537148405e-01,9.999767153780957374e-01,9.999534307561913637e-01
9.948494416347667402e-01,9.955898926113238012e-01,9.989475350899251760e-01,9.992874905697280985e-01,9.993154321160132580e-01,9.996321029739119179e-01,9.997718107053377157e-01,9.998789199660975680e-01,9.999208322855253073e-01,9.999534307561913637e-01,9.999348030586678870e-01
