,Regions Missed = 0,Regions Missed = 1,Regions Missed >= 2,Descents = p,Descents = p-1,Descents <= p-2,Proportion of incorrectly identified regions
2,27.0,33.0,40.0,27.0,33.0,40.0,0.084
3,31.0,38.0,31.0,31.0,38.0,31.0,0.028
2,29.0,31.0,40.0,29.0,31.0,40.0,0.07600000000000001
3,33.0,37.0,30.0,33.0,37.0,30.0,0.023
2,36.0,34.0,30.0,36.0,34.0,30.0,0.025
3,39.0,34.0,27.0,39.0,34.0,27.0,0.005
2,41.0,31.0,28.0,41.0,31.0,28.0,0.005
3,41.0,33.0,26.0,41.0,33.0,26.0,0.001
