,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,1.0,0.0,1.0,0.2785191535949707,0.2865281105041504
1,1.0,0.0,1.0,0.25908899307250977,0.25016331672668457
2,1.0,0.0,1.0,0.26088690757751465,0.2748908996582031
3,1.0,0.0,1.0,0.2266850471496582,0.2548680305480957
4,1.0,0.0,1.0,0.27597904205322266,0.33745479583740234
5,1.0,0.0,1.0,0.2524299621582031,0.2851908206939697
6,1.0,0.0,1.0,0.30833005905151367,0.32353878021240234
7,1.0,0.0,1.0,0.27220892906188965,0.2845597267150879
8,1.0,0.0,1.0,0.31642794609069824,0.26069211959838867
9,1.0,0.0,1.0,0.2942080497741699,0.28076982498168945
10,1.0,0.0,1.0,0.24554800987243652,0.23499798774719238
11,1.0,0.0,1.0,0.2426469326019287,0.25727295875549316
12,1.0,0.0,1.0,0.3141961097717285,0.2656989097595215
13,1.0,0.0,1.0,0.27947306632995605,0.2629711627960205
14,1.0,0.0,1.0,0.2749629020690918,0.27405595779418945
15,1.0,0.0,1.0,0.3052489757537842,0.31343984603881836
16,1.0,0.0,1.0,0.23275113105773926,0.22929096221923828
17,1.0,0.0,1.0,0.3205139636993408,0.27052903175354004
18,1.0,0.0,1.0,0.2693490982055664,0.2801480293273926
19,1.0,0.0,1.0,0.23700690269470215,0.25448107719421387
20,1.0,0.0,1.0,0.30400514602661133,0.3780028820037842
21,1.0,0.0,1.0,0.3265829086303711,0.3366110324859619
22,1.0,0.0,1.0,0.3066396713256836,0.2578771114349365
23,1.0,0.0,1.0,0.3083829879760742,0.2895650863647461
24,1.0,0.0,1.0,0.226362943649292,0.2524092197418213
25,1.0,0.0,1.0,0.22649621963500977,0.2378098964691162
26,1.0,0.0,1.0,0.2531929016113281,0.2350902557373047
27,1.0,0.0,1.0,0.25487494468688965,0.254849910736084
28,1.0,0.0,1.0,0.2906372547149658,0.2816760540008545
29,1.0,0.0,1.0,0.30928802490234375,0.3023960590362549
30,1.0,0.0,1.0,0.3904581069946289,0.33598804473876953
31,1.0,0.0,1.0,0.2613649368286133,0.2632608413696289
32,1.0,0.0,1.0,0.2783353328704834,0.2543621063232422
33,1.0,0.0,1.0,0.2599029541015625,0.24618315696716309
34,1.0,0.0,1.0,0.20394682884216309,0.20810604095458984
35,1.0,0.0,1.0,0.2647438049316406,0.2702209949493408
36,1.0,0.0,1.0,0.29404187202453613,0.30779600143432617
37,1.0,0.0,1.0,0.24964570999145508,0.23832917213439941
38,1.0,0.0,1.0,0.2945737838745117,0.2543771266937256
39,1.0,0.0,1.0,0.2523159980773926,0.26004791259765625
40,1.0,0.0,1.0,0.2313239574432373,0.24374866485595703
41,1.0,0.0,1.0,0.2578151226043701,0.2748689651489258
42,1.0,0.0,1.0,0.2737410068511963,0.2813229560852051
43,1.0,0.0,1.0,0.24344301223754883,0.250349760055542
44,1.0,0.0,1.0,0.22442030906677246,0.24467206001281738
45,1.0,0.0,1.0,0.22803688049316406,0.237379789352417
46,1.0,0.0,1.0,0.267103910446167,0.2542598247528076
47,1.0,0.0,1.0,0.24721121788024902,0.25627684593200684
48,1.0,0.0,1.0,0.20163822174072266,0.2236642837524414
49,1.0,0.0,1.0,0.2474970817565918,0.2690110206604004
50,1.0,0.0,1.0,0.25754714012145996,0.27641820907592773
51,1.0,0.0,1.0,0.26031494140625,0.28311777114868164
52,1.0,0.0,1.0,0.2556018829345703,0.2764301300048828
53,1.0,0.0,1.0,0.2650728225708008,0.28289008140563965
54,1.0,0.0,1.0,0.2521531581878662,0.27230095863342285
55,1.0,0.0,1.0,0.2896909713745117,0.28870701789855957
56,1.0,0.0,1.0,0.25713491439819336,0.24823617935180664
57,1.0,0.0,1.0,0.2660658359527588,0.24890589714050293
58,1.0,0.0,1.0,0.2658050060272217,0.27887678146362305
59,1.0,0.0,1.0,0.22229886054992676,0.24222683906555176
60,1.0,0.0,1.0,0.2604060173034668,0.27501797676086426
61,1.0,0.0,1.0,0.28145790100097656,0.29201388359069824
62,1.0,0.0,1.0,0.25804615020751953,0.2604789733886719
63,1.0,0.0,1.0,0.23337817192077637,0.26512908935546875
64,1.0,0.0,1.0,0.2688441276550293,0.30876970291137695
