,0,1,2
0,0.3212,0.5402,0.7206
1,0.5404,0.0598,0.0742
2,0.7227,0.0692,0.0235
0,0.3258,0.5468,0.7261
1,0.5464,0.0623,0.076
2,0.7271,0.071,0.024
0,0.3783,0.6094,0.7725
1,0.6069,0.0868,0.094
2,0.7721,0.0885,0.0304
0,0.4373,0.6741,0.8178
1,0.6699,0.1203,0.117
2,0.8175,0.1109,0.0391
