,0,1,2
0,0.7714,0.9002,0.9457
1,0.9011,0.8917,0.9279
2,0.9454,0.9268,0.9536
0,0.7751,0.903,0.9473
1,0.9041,0.8953,0.9304
2,0.9472,0.9292,0.9553
0,0.8076,0.9277,0.9615
1,0.9287,0.9265,0.9519
2,0.9614,0.9509,0.9699
0,0.8402,0.9489,0.9734
1,0.9498,0.9518,0.9693
2,0.9734,0.9686,0.9814
