,1,2,3,4
0.01,-0.1078,-0.0894,-0.0206,0.0454
0.1,-0.5566,-0.4651,0.1854,0.5455
0.2,-1.2861,0.07,0.8138,2.0241
0.01,0.051,0.0506,0.1741,0.023
0.1,0.5102,0.5063,1.7413,0.23
0.2,0.7352,1.0425,1.7165,0.6368
