,1,2,3,4
0.01,-0.0018,0.0078,-0.0079,0.0019
0.1,-0.0135,0.081,-0.068,0.0278
0.2,-0.0175,0.1699,-0.1117,0.0755
0.01,0.026,0.0051,0.0152,0.0557
0.1,0.2605,0.0506,0.1517,0.5571
0.2,0.521,0.1013,0.3034,1.1143
