,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart
0,32.0,23.0,32.0,2.35402774810791,6.128871917724609,-195.8308285188571,-195.83082851885706
1,32.0,25.0,32.0,2.715099811553955,5.97560715675354,-195.8308285188571,-195.8308285188571
2,32.0,28.0,32.0,2.524149179458618,6.089591979980469,-195.8308285188571,-195.8308285188571
3,32.0,29.0,32.0,2.8979198932647705,6.092448711395264,-195.8308285188571,-195.8308285188571
4,32.0,27.0,32.0,2.639456033706665,6.1927330493927,-195.8308285188566,-195.8308285188571
5,32.0,22.0,32.0,2.5327160358428955,7.303776025772095,-195.83082851885712,-195.8308285188571
6,32.0,33.0,32.0,3.7626547813415527,7.942348957061768,-195.8308285188571,-195.83082851885692
7,32.0,21.0,32.0,2.6163971424102783,6.164000034332275,-195.8308285188571,-195.8308285188571
8,32.0,36.0,32.0,2.844794750213623,6.297337770462036,-195.8308285188571,-195.8308285188571
9,32.0,21.0,32.0,2.5376949310302734,6.28615403175354,-195.8308285188571,-195.8308285188571
10,32.0,24.0,32.0,2.7041709423065186,7.117349863052368,-195.83082851885666,-195.83082851885666
11,32.0,26.0,32.0,4.092612028121948,9.565671920776367,-195.8308285188571,-195.8308285188571
12,32.0,35.0,32.0,4.1368608474731445,9.369189977645874,-195.8308285188571,-195.83082851885666
13,32.0,33.0,32.0,4.304731369018555,8.755950927734375,-195.8308285188571,-195.8308285188558
14,32.0,32.0,32.0,3.9854540824890137,9.179924964904785,-195.8308285188558,-195.8308285188558
15,32.0,24.0,32.0,3.695352077484131,9.636134147644043,-195.8308285188571,-195.8308285188571
16,32.0,38.0,32.0,4.22994589805603,8.893533945083618,-195.83082851885683,-195.83082851885683
17,32.0,32.0,32.0,3.803285837173462,8.654458284378052,-195.83082851885712,-195.83082851885712
18,32.0,27.0,32.0,4.08115291595459,8.958150863647461,-195.83082851885666,-195.83082851885706
19,32.0,33.0,32.0,4.216858863830566,9.360987901687622,-195.83082851885712,-195.83082851882403
20,32.0,32.0,32.0,3.9727208614349365,9.308806896209717,-195.83082851885618,-195.83082851885618
21,32.0,39.0,32.0,4.6030049324035645,9.494253158569336,-195.8308285188571,-195.8308285188571
22,32.0,33.0,32.0,3.8489179611206055,8.905616044998169,-195.8308285188558,-195.8308285188558
23,32.0,33.0,32.0,3.9578359127044678,9.28580117225647,-195.83082851885683,-195.8308285188571
24,32.0,25.0,32.0,3.681311845779419,9.08945107460022,-195.8308285188571,-195.8308285188571
25,32.0,28.0,32.0,3.9549560546875,9.29217267036438,-195.8308285188558,-195.8308285188558
26,32.0,16.0,32.0,3.4399170875549316,9.060049772262573,-195.8308285188571,-195.8308285188571
27,32.0,32.0,32.0,4.391336917877197,9.13207197189331,-195.83082851885712,-195.83082851885712
28,32.0,21.0,32.0,3.7218849658966064,9.17643690109253,-195.8308285188571,-195.83082851885618
29,32.0,23.0,32.0,3.894826650619507,9.29110598564148,-195.83082851885683,-195.83082851885683
30,32.0,27.0,32.0,3.9633889198303223,8.876386880874634,-195.83082851885712,-195.83082851885712
31,32.0,22.0,32.0,3.957463026046753,9.23838496208191,-195.83082851885666,-195.83082851885666
32,32.0,39.0,32.0,4.413033962249756,9.25701093673706,-195.83082851885706,-195.83082851885644
33,32.0,31.0,32.0,3.9959089756011963,9.29230809211731,-195.83082851885712,-195.83082851885712
34,32.0,33.0,32.0,4.278339147567749,9.4215669631958,-195.83082851885683,-195.83082851885683
35,32.0,35.0,32.0,4.142619848251343,9.27347707748413,-195.8308285188571,-195.8308285188571
36,32.0,27.0,32.0,3.923988103866577,9.139423131942749,-195.8308285188571,-195.8308285188571
37,32.0,29.0,32.0,4.034271001815796,9.382561922073364,-195.83082851885683,-195.83082851885683
38,32.0,20.0,32.0,3.831995964050293,9.550668954849243,-195.8308285188566,-195.83082851885706
39,32.0,31.0,32.0,4.135502099990845,9.38242506980896,-195.8308285188571,-195.8308285188571
40,32.0,31.0,32.0,3.83676815032959,9.151643991470337,-195.83082851885712,-195.83082851885712
41,32.0,24.0,32.0,3.9083869457244873,9.516629934310913,-195.8308285188566,-195.8308285188566
42,32.0,27.0,32.0,4.095706939697266,9.067474365234375,-195.8308285188571,-195.8308285188571
43,32.0,26.0,32.0,3.69610595703125,9.634366035461426,-195.83082851885666,-195.83082851885666
44,32.0,20.0,32.0,3.91874098777771,9.371249914169312,-195.83082851885712,-195.83082851885712
45,32.0,26.0,32.0,3.821852922439575,9.501199960708618,-195.8308285188571,-195.8308285188571
46,32.0,26.0,32.0,3.921736240386963,9.573086023330688,-195.83082851885683,-195.83082851885683
47,32.0,31.0,32.0,4.110253095626831,9.449236869812012,-195.8308285188571,-195.8308285188571
48,32.0,23.0,32.0,4.272356271743774,9.509865999221802,-195.8308285188571,-195.8308285188571
49,32.0,34.0,32.0,4.194589376449585,9.124510049819946,-195.8308285188571,-195.8308285188571
50,32.0,22.0,32.0,3.9429588317871094,9.580585956573486,-195.8308285188571,-195.83082851885712
51,32.0,36.0,32.0,4.291244029998779,9.623532772064209,-195.8308285188571,-195.83082851882403
52,32.0,41.0,32.0,4.670689105987549,9.736623764038086,-195.8308285188571,-195.8308285188571
53,32.0,35.0,32.0,4.548332929611206,9.384315252304077,-195.83082851885644,-195.83082851885644
54,32.0,27.0,32.0,4.143035888671875,9.708132028579712,-195.8308285188571,-195.8308285188571
55,32.0,34.0,32.0,4.4394190311431885,9.258990049362183,-195.83082851885706,-195.83082851885706
56,32.0,31.0,32.0,4.1753339767456055,9.551533937454224,-195.8308285188571,-195.8308285188571
57,32.0,38.0,32.0,4.390059947967529,9.596513032913208,-195.8308285188571,-195.8308285188571
58,32.0,24.0,32.0,4.139121770858765,9.40657091140747,-195.8308285188571,-195.8308285188571
59,32.0,35.0,32.0,4.045436859130859,9.908010005950928,-195.83082851885712,-195.83082851885712
60,32.0,24.0,32.0,3.9183812141418457,9.523913145065308,-195.8308285188571,-195.8308285188571
61,32.0,31.0,32.0,4.237626075744629,9.489781856536865,-195.83082851885712,-195.83082851885615
62,32.0,23.0,32.0,3.9251151084899902,9.583990097045898,-195.8308285188571,-195.8308285188571
63,32.0,32.0,32.0,4.078615188598633,9.57316517829895,-195.8308285188571,-195.8308285188571
64,32.0,38.0,32.0,4.742901802062988,9.616348028182983,-195.8308285188571,-195.8308285188571
65,32.0,26.0,32.0,4.208549976348877,9.742043733596802,-195.8308285188566,-195.8308285188566
66,32.0,28.0,32.0,4.068979024887085,9.420536756515503,-195.8308285188571,-195.83082851885644
67,32.0,23.0,32.0,4.050885915756226,9.456700801849365,-195.83082851885712,-195.8308285188571
68,32.0,31.0,32.0,4.248254060745239,9.481208801269531,-195.83082851882403,-195.83082851885666
69,32.0,35.0,32.0,4.329334020614624,9.301862955093384,-195.83082851885712,-195.83082851885712
70,32.0,20.0,32.0,3.9120028018951416,10.052218198776245,-195.8308285188571,-195.8308285188571
71,32.0,37.0,32.0,4.378115653991699,9.539306879043579,-195.83082851885712,-195.83082851885644
72,32.0,31.0,32.0,4.271229982376099,9.362841129302979,-195.83082851885644,-195.83082851885706
73,32.0,31.0,32.0,4.116802930831909,9.306780099868774,-195.8308285188566,-195.83082851885615
74,32.0,32.0,32.0,4.1732399463653564,9.401218891143799,-195.8308285188571,-195.8308285188571
75,32.0,37.0,32.0,4.362009763717651,9.734524965286255,-195.83082851885712,-195.83082851885712
76,32.0,24.0,32.0,4.0791449546813965,9.621124982833862,-195.8308285188571,-195.8308285188571
77,32.0,32.0,32.0,4.152998924255371,9.968225955963135,-195.83082851885644,-195.83082851885644
78,32.0,24.0,32.0,4.057767868041992,9.616026163101196,-195.83082851885692,-195.8308285188571
79,32.0,34.0,32.0,4.183711051940918,9.330221176147461,-195.8308285188566,-195.83082851885692
80,32.0,26.0,32.0,4.1111860275268555,9.571390151977539,-195.83082851885712,-195.83082851885706
81,32.0,30.0,32.0,4.1409080028533936,9.649173021316528,-195.8308285188566,-195.8308285188571
82,32.0,31.0,32.0,4.3637778759002686,9.510186910629272,-195.83082851885618,-195.83082851885618
83,32.0,34.0,32.0,4.41353178024292,9.590313911437988,-195.8308285188571,-195.8308285188571
84,32.0,22.0,32.0,3.687066078186035,9.713963031768799,-195.83082851885712,-195.83082851885712
85,32.0,33.0,32.0,4.25242280960083,9.563545227050781,-195.8308285188571,-195.83082851885692
86,32.0,27.0,32.0,3.9010419845581055,9.55268406867981,-195.8308285188571,-195.83082851885706
87,32.0,26.0,32.0,3.8862130641937256,9.360559940338135,-195.83082851885666,-195.83082851885666
88,32.0,27.0,32.0,3.8733510971069336,9.443438053131104,-195.83082851885615,-195.83082851885615
89,32.0,28.0,32.0,4.059228897094727,9.34746503829956,-195.83082851885712,-195.83082851885712
90,32.0,24.0,32.0,3.957610845565796,9.369334936141968,-195.8308285188571,-195.8308285188571
91,32.0,29.0,32.0,4.171700954437256,9.723168134689331,-195.8308285188566,-195.8308285188571
92,32.0,28.0,32.0,4.252795219421387,9.5310537815094,-195.83082851885712,-195.83082851885712
93,32.0,36.0,32.0,4.271672964096069,9.527159214019775,-195.8308285188571,-195.8308285188571
94,32.0,24.0,32.0,3.9893062114715576,9.114397048950195,-195.8308285188571,-195.83082851885712
95,32.0,32.0,32.0,4.220963001251221,9.63766884803772,-195.83082851885712,-195.83082851885712
96,32.0,38.0,32.0,4.337371110916138,9.847189903259277,-195.83082851885712,-195.8308285188571
97,32.0,21.0,32.0,4.021148920059204,10.856971740722656,-195.83082851885692,-195.8308285188571
98,32.0,20.0,32.0,4.06617283821106,12.160876989364624,-195.83082851876486,-195.83082851876486
99,32.0,31.0,32.0,5.2582128047943115,9.591965198516846,-195.8308285188571,-195.8308285188571
