,0,1,2,3
0,7.0,9.0,84.0,1.0
1,5.0,13.0,82.0,1.0
2,44.0,34.0,22.0,1.0
3,72.0,26.0,2.0,1.0
4,84.0,16.0,0.0,1.0
5,95.0,5.0,0.0,1.0
6,87.0,13.0,0.0,1.0
7,89.0,11.0,0.0,1.0
8,96.0,4.0,0.0,1.0
