,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,47.0,163.0,176.27325439453125,1.3669935699007402e-05
1,47.0,126.0,178.4617531299591,1.2460503620922876e-05
2,45.0,95.0,144.41121006011963,1.608710713280025e-05
3,46.0,157.0,191.3443148136139,1.269715420396151e-05
4,46.0,100.0,143.11479091644287,1.5311220419110196e-05
5,45.0,94.0,139.80125284194946,1.3740756580677904e-05
6,47.0,148.0,199.8381540775299,1.5490760110196033e-05
7,48.0,119.0,178.6184618473053,1.2884497199246512e-05
8,48.0,144.0,184.32413935661316,1.558195276206317e-05
9,47.0,120.0,160.77775073051453,1.4211812429673266e-05
10,45.0,97.0,138.14837908744812,1.4723297560384503e-05
11,45.0,115.0,160.7098834514618,1.6999822135100142e-05
12,47.0,127.0,176.1794400215149,1.5147671301830261e-05
13,47.0,79.0,132.9759063720703,1.4193422428911854e-05
14,49.0,164.0,206.54237961769104,1.5578142779639212e-05
15,46.0,95.0,143.98004055023193,1.1487699024047381e-05
16,47.0,94.0,138.92769503593445,1.3801203438496735e-05
17,47.0,106.0,144.90340447425842,1.1017315582292854e-05
18,48.0,147.0,182.0867977142334,1.1579176971905907e-05
19,40.0,77.0,124.00600075721741,1.2043913173286662e-05
20,49.0,91.0,146.0704116821289,1.3393294338727066e-05
21,49.0,137.0,177.9450933933258,9.257669106599999e-06
22,48.0,136.0,174.54121732711792,1.3598588698875109e-05
23,45.0,90.0,136.28701305389404,1.2090979716365375e-05
24,48.0,103.0,140.24314713478088,1.1853314880527034e-05
25,48.0,152.0,224.7834975719452,1.3782154796140012e-05
26,48.0,110.0,156.75960993766785,1.3217879721246225e-05
27,48.0,76.0,136.66495275497437,8.85539922244897e-06
28,45.0,112.0,159.44765400886536,1.4951476482521927e-05
29,48.0,116.0,159.24304366111755,1.571941089500849e-05
30,48.0,142.0,174.58418560028076,1.1697605226199639e-05
31,49.0,123.0,174.49336695671082,1.6162197481965566e-05
32,44.0,117.0,174.8864459991455,1.312178256335616e-05
33,48.0,109.0,167.34039402008057,1.2028979383711575e-05
34,50.0,138.0,194.26966643333435,1.662342769763166e-05
35,50.0,155.0,205.47400045394897,1.5491049795950876e-05
36,45.0,106.0,152.37329268455505,1.2957990771209864e-05
37,49.0,106.0,166.55522990226746,1.684149759308825e-05
38,47.0,125.0,185.3109941482544,1.3202464508092887e-05
39,48.0,131.0,187.1914038658142,1.6553617463349526e-05
40,48.0,98.0,160.63665390014648,1.6575269164448417e-05
41,46.0,120.0,163.12058353424072,1.5026312801057308e-05
42,49.0,125.0,165.6982717514038,1.2448191911323406e-05
43,47.0,130.0,171.0772910118103,1.5204372479631015e-05
44,47.0,111.0,163.1181399822235,1.457353821993912e-05
45,48.0,125.0,183.20254278182983,1.5043783361767086e-05
46,50.0,138.0,183.60343289375305,1.1191425204192147e-05
47,46.0,126.0,168.75790429115295,1.7018009049631292e-05
48,48.0,153.0,194.16810011863708,1.564139444793928e-05
49,46.0,134.0,175.16916847229004,1.4905943465721332e-05
50,47.0,119.0,177.75711870193481,1.3117423796511224e-05
51,50.0,151.0,202.124817609787,1.219084115455438e-05
52,45.0,97.0,146.90052461624146,1.2305071688327061e-05
53,48.0,119.0,161.5077531337738,1.4257306868589075e-05
54,39.0,94.0,132.07012939453125,1.371939691371476e-05
55,49.0,143.0,224.12136006355286,1.1070898869842832e-05
56,49.0,119.0,222.3566734790802,1.5934931778545526e-05
57,47.0,142.0,194.80190515518188,1.1204507963005747e-05
58,50.0,112.0,164.82129788398743,1.575725000912878e-05
59,49.0,104.0,151.48864769935608,1.2063946718602533e-05
60,48.0,103.0,146.0694465637207,1.0006852922824428e-05
61,48.0,130.0,162.49606585502625,1.5706096758762927e-05
62,50.0,110.0,159.26994347572327,6.08796371733309e-06
63,45.0,94.0,147.86295127868652,1.5793420448556494e-05
64,48.0,131.0,182.42568016052246,1.3636876849189665e-05
65,49.0,101.0,150.19405579566956,1.3719710226748537e-05
66,46.0,129.0,166.60894131660461,1.2583557815807301e-05
67,49.0,139.0,168.21542859077454,1.4923380861702345e-05
68,47.0,122.0,195.76352739334106,1.5893883281626977e-05
69,48.0,117.0,187.2408149242401,1.2859657190512632e-05
70,47.0,106.0,102.67566204071045,1.4588059279362069e-05
71,49.0,154.0,88.66687369346619,1.3861819304153626e-05
72,47.0,97.0,79.14277172088623,1.1926759389364993e-05
73,48.0,120.0,73.57573962211609,1.5142837409149993e-05
74,46.0,100.0,63.71031665802002,1.2806810083466796e-05
75,46.0,151.0,109.45292091369629,1.2505279607432002e-05
76,48.0,112.0,76.08068060874939,1.2387048127705595e-05
77,49.0,110.0,71.09034323692322,1.3139760882288494e-05
78,47.0,137.0,98.31573414802551,1.4860372262954935e-05
79,48.0,122.0,73.43169975280762,9.843457215267415e-06
80,50.0,108.0,67.45012950897217,1.3578980873022654e-05
81,49.0,114.0,102.92587447166443,1.2157729142282893e-05
82,50.0,150.0,92.63131713867188,1.278909052293113e-05
83,46.0,84.0,62.11543035507202,1.3640949776318125e-05
84,46.0,120.0,88.50655031204224,1.6246081812098356e-05
85,49.0,113.0,74.04499626159668,1.3473085026361734e-05
86,47.0,125.0,73.83551120758057,1.469574621462573e-05
87,46.0,121.0,87.0392575263977,1.453780211795262e-05
88,49.0,117.0,87.0818874835968,1.603200336913585e-05
89,46.0,124.0,95.23195838928223,1.3151454089967088e-05
90,49.0,116.0,77.03577899932861,1.2258235196438228e-05
91,49.0,127.0,107.48368048667908,1.4554823730138367e-05
92,49.0,121.0,97.28526473045349,1.0101503163125135e-05
93,50.0,167.0,107.37136912345886,1.4675065244943177e-05
94,47.0,104.0,75.6739809513092,1.4546522009175787e-05
95,49.0,143.0,95.46877145767212,1.4495958976110763e-05
96,48.0,98.0,72.68608403205872,1.4690304475523214e-05
97,47.0,127.0,80.81028294563293,1.430666041712803e-05
98,44.0,101.0,69.83833408355713,1.5175157149188017e-05
99,50.0,149.0,91.5580735206604,1.3001958225475123e-05
