,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region,total_times_minimizer_missed,total_no_times_inequals_sat
0,46.0,0.0,46.0,2480.88809633255,2601.2071340084076,1.7396247624373e-07,1.7396247624373e-07,0.0,0.0,0.0,954.0
1,48.0,0.0,48.0,2016.625257730484,2053.0947473049164,9.356897113458912e-08,9.356897113458912e-08,0.0,0.0,0.0,952.0
2,50.0,0.0,50.0,2341.05921125412,2187.050299167633,1.5074973046616307e-07,1.5074973046616307e-07,0.0,0.0,0.0,950.0
3,48.0,0.0,48.0,2356.2290902137756,1830.6744129657745,7.3652274251463e-08,7.3652274251463e-08,0.0,0.0,0.0,952.0
4,48.0,0.0,48.0,1859.6305787563324,2391.8610129356384,1.4201511618389254e-07,1.4201511618389254e-07,0.0,0.0,0.0,952.0
5,46.0,0.0,46.0,1755.1061024665833,2291.1825301647186,1.4528349159342122e-07,1.4528349159342122e-07,0.0,0.0,0.0,954.0
6,49.0,0.0,49.0,2864.3596925735474,2271.5209214687347,1.2561306040132072e-07,1.2561306040132072e-07,0.0,0.0,0.0,951.0
7,49.0,0.0,49.0,2517.071583032608,2602.156054496765,1.0922405075157559e-07,1.0922405075157559e-07,0.0,0.0,0.0,951.0
8,49.0,0.0,49.0,2253.5534286499023,2326.6473548412323,7.299915149894011e-08,7.299915149894011e-08,0.0,0.0,0.0,951.0
9,49.0,0.0,49.0,2272.2695293426514,2479.0203738212585,6.655607338918185e-08,6.655607338918185e-08,0.0,0.0,0.0,951.0
10,49.0,0.0,49.0,2282.366582632065,2307.4548046588898,1.2971108803720835e-07,1.2971108803720835e-07,0.0,0.0,0.0,951.0
11,49.0,0.0,49.0,2320.2891750335693,2302.1324343681335,9.244893182165986e-08,9.244893182165986e-08,0.0,0.0,0.0,951.0
12,49.0,0.0,49.0,2290.544636964798,2307.6013464927673,7.073546265769265e-08,7.073546265769265e-08,0.0,0.0,0.0,951.0
13,46.0,0.0,46.0,2314.0919239521027,2217.7138018608093,1.0299114764754904e-07,1.0299114764754904e-07,0.0,0.0,0.0,954.0
14,50.0,0.0,50.0,2359.011804819107,2615.514476299286,8.006140865546605e-08,8.006140865546605e-08,0.0,0.0,0.0,950.0
15,50.0,0.0,50.0,2464.475088596344,2349.119033098221,1.3846918848032347e-07,1.3846918848032347e-07,0.0,0.0,0.0,950.0
16,48.0,0.0,48.0,2522.4034311771393,2292.156755208969,1.234422988216761e-07,1.234422988216761e-07,0.0,0.0,0.0,952.0
17,45.0,0.0,45.0,2587.8555335998535,2420.8262400627136,1.1366292419547298e-07,1.1366292419547298e-07,0.0,0.0,0.0,955.0
18,49.0,0.0,49.0,2790.11057305336,2985.0230972766876,7.618593338357076e-08,7.618593338357076e-08,0.0,0.0,0.0,951.0
19,50.0,0.0,50.0,3098.0286858081818,2485.990413427353,1.1749798469311817e-07,1.1749798469311817e-07,0.0,0.0,0.0,950.0
20,47.0,0.0,47.0,3148.806619167328,3145.161294937134,1.7034183029275113e-07,1.7034183029275113e-07,0.0,0.0,0.0,953.0
21,50.0,0.0,50.0,3095.3218026161194,2738.0319929122925,1.5711697674266103e-07,1.5711697674266103e-07,0.0,0.0,0.0,950.0
22,49.0,0.0,49.0,3114.714907646179,3207.422142267227,1.08908958360613e-07,1.08908958360613e-07,0.0,0.0,0.0,951.0
23,48.0,0.0,48.0,2838.901041507721,3219.5327246189117,1.2910555213372756e-07,1.2910555213372756e-07,0.0,0.0,0.0,952.0
24,48.0,0.0,48.0,3002.8303859233856,2820.103976249695,1.1550939249294043e-07,1.1550939249294043e-07,0.0,0.0,0.0,952.0
25,47.0,0.0,47.0,3330.7913734912872,3189.7883586883545,7.818998167150574e-08,7.818998167150574e-08,0.0,0.0,0.0,953.0
26,48.0,0.0,48.0,3168.9960064888,2543.691987991333,8.69725549278651e-08,8.69725549278651e-08,0.0,0.0,0.0,952.0
27,49.0,0.0,49.0,3188.151338815689,3203.442527294159,7.610654747937959e-08,7.610654747937959e-08,0.0,0.0,0.0,951.0
28,48.0,0.0,48.0,3096.9275147914886,3148.479032278061,1.222027814092876e-07,1.222027814092876e-07,0.0,0.0,0.0,952.0
29,46.0,0.0,46.0,3398.648890018463,2941.083553314209,1.6819838594915127e-07,1.6819838594915127e-07,0.0,0.0,0.0,954.0
30,49.0,0.0,49.0,2910.2066440582275,3452.9826118946075,1.7132979455528588e-07,1.7132979455528588e-07,0.0,0.0,0.0,951.0
31,47.0,0.0,47.0,2920.0508625507355,2649.4973006248474,1.0315477082558787e-07,1.0315477082558787e-07,0.0,0.0,0.0,953.0
32,49.0,0.0,49.0,2555.9449214935303,2555.5095987319946,7.277713956279115e-08,7.277713956279115e-08,0.0,0.0,0.0,951.0
33,50.0,0.0,50.0,2771.4553134441376,2973.32084608078,1.1235066469245054e-07,1.1235066469245054e-07,0.0,0.0,0.0,950.0
34,49.0,0.0,49.0,3232.3013927936554,3276.98534989357,1.256217963189723e-07,1.256217963189723e-07,0.0,0.0,0.0,951.0
35,45.0,0.0,45.0,2721.9466581344604,2976.4140729904175,1.63060009390562e-07,1.63060009390562e-07,0.0,0.0,0.0,955.0
36,49.0,0.0,49.0,3253.5901305675507,3588.586397409439,8.254488758891812e-08,8.254488758891812e-08,0.0,0.0,0.0,951.0
37,50.0,0.0,50.0,2621.3560025691986,2209.226389169693,1.122388076770396e-07,1.122388076770396e-07,0.0,0.0,0.0,950.0
38,48.0,0.0,48.0,2861.653958082199,2332.9393315315247,1.6481108386092356e-07,1.6481108386092356e-07,0.0,0.0,0.0,952.0
39,47.0,0.0,47.0,2123.1761593818665,3130.8998267650604,1.0562521021425544e-07,1.0562521021425544e-07,0.0,0.0,0.0,953.0
40,50.0,0.0,50.0,2996.04007935524,3496.5896413326263,1.477980735411631e-07,1.477980735411631e-07,0.0,0.0,0.0,950.0
41,50.0,0.0,50.0,2588.6026227474213,2023.450074672699,1.4207471333747333e-07,1.4207471333747333e-07,0.0,0.0,0.0,950.0
42,46.0,0.0,46.0,2232.8059051036835,2311.643567800522,1.0168543731693263e-07,1.0168543731693263e-07,0.0,0.0,0.0,954.0
43,46.0,0.0,46.0,3076.557265996933,2547.298588991165,1.385129971635183e-07,1.385129971635183e-07,0.0,0.0,0.0,954.0
44,47.0,0.0,47.0,2638.9314608573914,2793.0094254016876,1.684201827878087e-07,1.684201827878087e-07,0.0,0.0,0.0,953.0
45,49.0,0.0,49.0,3308.4658946990967,3047.393065214157,9.155005186244889e-08,9.155005186244889e-08,0.0,0.0,0.0,951.0
46,49.0,0.0,49.0,2390.0534887313843,2467.604129552841,9.955601298473623e-08,9.955601298473623e-08,0.0,0.0,0.0,951.0
47,48.0,0.0,48.0,2788.2632932662964,2487.7598848342896,1.767804058900927e-07,1.767804058900927e-07,0.0,0.0,0.0,952.0
48,46.0,0.0,46.0,2304.1000435352325,2946.350928544998,1.2774107630740392e-07,1.2774107630740392e-07,0.0,0.0,0.0,954.0
49,49.0,0.0,49.0,2837.8672773838043,2579.4982450008392,1.269109984305776e-07,1.269109984305776e-07,0.0,0.0,0.0,951.0
50,47.0,0.0,47.0,2518.515634536743,2821.70055437088,1.3841325489166982e-07,1.3841325489166982e-07,0.0,0.0,0.0,953.0
51,47.0,0.0,47.0,2953.214630842209,3267.4730439186096,1.4176070772663975e-07,1.4176070772663975e-07,0.0,0.0,0.0,953.0
52,48.0,0.0,48.0,3060.1605911254883,3099.559449195862,9.505444902674034e-08,9.505444902674034e-08,0.0,0.0,0.0,952.0
53,47.0,0.0,47.0,2078.032050848007,1996.3321950435638,1.3727628143683287e-07,1.3727628143683287e-07,0.0,0.0,0.0,953.0
54,49.0,0.0,49.0,2313.18443441391,2878.9293072223663,5.652562178832005e-08,5.652562178832005e-08,0.0,0.0,0.0,951.0
55,49.0,0.0,49.0,2719.7298607826233,2814.6719439029694,1.3954541379536424e-07,1.3954541379536424e-07,0.0,0.0,0.0,951.0
56,48.0,0.0,48.0,3027.6911146640778,2801.7388072013855,1.0323051109513658e-07,1.0323051109513658e-07,0.0,0.0,0.0,952.0
57,49.0,0.0,49.0,2815.6747617721558,2990.7689139842987,8.184006764155839e-08,8.184006764155839e-08,0.0,0.0,0.0,951.0
58,50.0,0.0,50.0,2843.894835948944,2736.047013282776,5.676715994488548e-08,5.676715994488548e-08,0.0,0.0,0.0,950.0
59,49.0,0.0,49.0,2974.9777538776398,2357.9765861034393,1.3665901737450933e-07,1.3665901737450933e-07,0.0,0.0,0.0,951.0
60,47.0,0.0,47.0,2485.237360239029,2181.655825614929,9.210402392571507e-08,9.210402392571507e-08,0.0,0.0,0.0,953.0
61,47.0,0.0,47.0,2502.716314315796,2484.7400357723236,1.7841178053074546e-07,1.7841178053074546e-07,0.0,0.0,0.0,953.0
62,46.0,0.0,46.0,3138.917553424835,2942.8581318855286,7.022493382857356e-08,7.022493382857356e-08,0.0,0.0,0.0,954.0
63,48.0,0.0,48.0,3296.979376077652,2135.972516298294,1.768039376002109e-07,1.768039376002109e-07,0.0,0.0,0.0,952.0
