,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region,total_times_minimizer_missed,total_no_times_inequals_sat
0,48.0,0.0,48.0,354.5664269924164,320.0638310909271,7.238488577283616e-08,7.238488577283616e-08,0.0,0.0,0.0,952.0
1,50.0,0.0,50.0,339.32495403289795,339.56809163093567,7.803587435705281e-08,7.803587435705281e-08,0.0,1.0,1.0,950.0
2,50.0,0.0,50.0,325.84522128105164,315.3753151893616,1.3133584984937752e-07,1.3133584984937752e-07,0.0,1.0,0.0,950.0
3,47.0,0.0,47.0,331.3202290534973,319.0165550708771,1.4650461469661366e-07,1.4650461469661366e-07,0.0,1.0,0.0,953.0
4,49.0,0.0,49.0,331.0100989341736,327.3104991912842,1.718369664418217e-07,1.718369664418217e-07,0.0,4.0,0.0,951.0
5,50.0,0.0,50.0,321.8949649333954,328.18592643737793,7.621358766489257e-08,7.621358766489257e-08,0.0,3.0,0.0,950.0
6,50.0,0.0,50.0,345.9933671951294,330.01937103271484,1.4995367647664763e-07,1.4995367647664763e-07,0.0,2.0,0.0,950.0
7,48.0,0.0,48.0,333.6950204372406,316.5591411590576,1.0512768287726284e-07,1.0512768287726284e-07,0.0,2.0,0.0,952.0
8,49.0,0.0,49.0,337.07867884635925,309.18134808540344,1.5046794249437978e-07,1.5046794249437978e-07,0.0,2.0,0.0,951.0
9,49.0,0.0,49.0,333.35561084747314,324.5806396007538,5.552869725066184e-08,5.552869725066184e-08,0.0,0.0,0.0,951.0
10,48.0,0.0,48.0,344.7887418270111,326.85853576660156,9.969569327078224e-08,9.969569327078224e-08,0.0,4.0,0.0,952.0
11,50.0,0.0,50.0,345.20399355888367,326.11279129981995,1.1582136679132049e-07,1.1582136679132049e-07,0.0,2.0,0.0,950.0
12,49.0,0.0,49.0,340.4547383785248,319.1755783557892,7.029483547569524e-08,7.029483547569524e-08,0.0,0.0,0.0,951.0
13,49.0,0.0,49.0,320.25436329841614,301.27057218551636,1.5938114505152585e-07,1.5938114505152585e-07,0.0,1.0,0.0,951.0
14,48.0,0.0,48.0,317.99550580978394,310.7129499912262,1.1399577443452111e-07,1.1399577443452111e-07,0.0,2.0,0.0,952.0
15,49.0,0.0,49.0,320.5824348926544,303.4611849784851,1.1103648662606706e-07,1.1103648662606706e-07,0.0,7.0,1.0,951.0
16,50.0,0.0,50.0,314.2442305088043,312.4301815032959,1.2404282705260115e-07,1.2404282705260115e-07,0.0,1.0,0.0,950.0
17,49.0,0.0,49.0,316.1512551307678,307.8787896633148,8.629561704332095e-08,8.629561704332095e-08,0.0,4.0,1.0,951.0
18,50.0,0.0,50.0,346.67483854293823,328.8100869655609,9.635585786927463e-08,9.635585786927463e-08,0.0,2.0,0.0,950.0
19,50.0,0.0,50.0,340.62611293792725,327.52141666412354,1.1861404511018411e-07,1.1861404511018411e-07,0.0,1.0,0.0,950.0
20,45.0,0.0,45.0,328.2337272167206,320.4196095466614,1.484339088799067e-07,1.484339088799067e-07,0.0,1.0,0.0,955.0
21,47.0,0.0,47.0,338.29252338409424,326.5855484008789,1.4239518200021803e-07,1.4239518200021803e-07,0.0,2.0,0.0,953.0
22,46.0,0.0,46.0,335.5671112537384,319.33657670021057,1.1061914535798291e-07,1.1061914535798291e-07,0.0,0.0,0.0,954.0
23,48.0,0.0,48.0,341.4079668521881,332.22865629196167,8.154578315833427e-08,8.154578315833427e-08,0.0,8.0,0.0,952.0
24,50.0,0.0,50.0,340.9218888282776,318.3256106376648,1.754935174846858e-07,1.754935174846858e-07,0.0,0.0,0.0,950.0
25,50.0,0.0,50.0,322.55223393440247,311.5784080028534,1.1599136475353219e-07,1.1599136475353219e-07,0.0,6.0,0.0,950.0
26,47.0,0.0,47.0,326.6299378871918,311.61294293403625,1.300701118903006e-07,1.300701118903006e-07,0.0,0.0,0.0,953.0
27,49.0,0.0,49.0,330.7131938934326,344.0025563240051,1.8273994824475126e-07,1.8273994824475126e-07,0.0,0.0,0.0,951.0
28,49.0,0.0,49.0,364.44512701034546,354.8681671619415,1.2184944310362145e-07,1.2184944310362145e-07,0.0,0.0,0.0,951.0
29,49.0,0.0,49.0,355.9357032775879,349.82178020477295,1.0299147265818361e-07,1.0299147265818361e-07,0.0,2.0,0.0,951.0
30,48.0,0.0,48.0,358.0629348754883,344.21134209632874,7.54678165857979e-08,7.54678165857979e-08,0.0,4.0,0.0,952.0
31,50.0,0.0,50.0,351.6945354938507,331.6197278499603,8.47641993751359e-08,8.47641993751359e-08,0.0,5.0,0.0,950.0
32,50.0,0.0,50.0,308.9285509586334,327.5615928173065,8.437395910794591e-08,8.437395910794591e-08,0.0,0.0,0.0,950.0
33,46.0,0.0,46.0,333.914133310318,315.06604838371277,1.0594368504566496e-07,1.0594368504566496e-07,0.0,3.0,0.0,954.0
34,48.0,0.0,48.0,338.9123146533966,312.73101830482483,1.4829989873192384e-07,1.4829989873192384e-07,0.0,0.0,0.0,952.0
35,48.0,0.0,48.0,321.3009431362152,306.0833034515381,1.2594085925444575e-07,1.2594085925444575e-07,0.0,3.0,0.0,952.0
36,50.0,0.0,50.0,314.1975164413452,310.80386567115784,1.6224398569776084e-07,1.6224398569776084e-07,0.0,0.0,0.0,950.0
37,49.0,0.0,49.0,350.5259895324707,338.6550931930542,1.641645168891207e-07,1.641645168891207e-07,0.0,2.0,0.0,951.0
38,48.0,0.0,48.0,354.67252230644226,326.472097158432,1.649089793068627e-07,1.649089793068627e-07,0.0,1.0,0.0,952.0
39,49.0,0.0,49.0,338.0261733531952,345.2541992664337,9.525630526115694e-08,9.525630526115694e-08,0.0,3.0,1.0,951.0
40,49.0,0.0,49.0,323.8555335998535,335.14559268951416,5.93254805202066e-08,5.93254805202066e-08,0.0,1.0,0.0,951.0
41,50.0,0.0,50.0,343.41181802749634,337.18591022491455,9.90283186920829e-08,9.90283186920829e-08,0.0,4.0,0.0,950.0
42,49.0,0.0,49.0,354.0527195930481,338.67338728904724,1.2222441502599117e-07,1.2222441502599117e-07,0.0,1.0,0.0,951.0
43,50.0,0.0,50.0,355.6231188774109,341.33090925216675,1.691302694806099e-07,1.691302694806099e-07,0.0,0.0,0.0,950.0
44,50.0,0.0,50.0,347.9567310810089,340.63402366638184,1.4362571820572302e-07,1.4362571820572302e-07,0.0,0.0,0.0,950.0
45,48.0,0.0,48.0,342.6606740951538,322.1696763038635,8.708290604681367e-08,8.708290604681367e-08,0.0,0.0,0.0,952.0
46,49.0,0.0,49.0,330.84182691574097,333.3348276615143,1.63013184869369e-07,1.63013184869369e-07,0.0,1.0,0.0,951.0
47,50.0,0.0,50.0,329.2713258266449,331.3046898841858,1.0570501133559345e-07,1.0570501133559345e-07,0.0,1.0,0.0,950.0
48,50.0,0.0,50.0,323.4226043224335,333.0809259414673,7.780500202728061e-08,7.780500202728061e-08,0.0,3.0,0.0,950.0
49,48.0,0.0,48.0,334.3328216075897,343.7455585002899,4.9563924048968955e-08,4.9563924048968955e-08,0.0,0.0,0.0,952.0
50,49.0,0.0,49.0,331.94569659233093,328.6802935600281,1.589172127332473e-07,1.589172127332473e-07,0.0,4.0,0.0,951.0
51,48.0,0.0,48.0,345.83973598480225,338.29242968559265,1.0240125085794437e-07,1.0240125085794437e-07,0.0,0.0,0.0,952.0
52,48.0,0.0,48.0,345.87823939323425,336.6725375652313,1.3023796146393312e-07,1.3023796146393312e-07,0.0,8.0,0.0,952.0
53,50.0,0.0,50.0,358.10720133781433,342.6946222782135,1.449541085629529e-07,1.449541085629529e-07,0.0,1.0,0.0,950.0
54,48.0,0.0,48.0,341.4846668243408,333.09827065467834,1.2718181994832235e-07,1.2718181994832235e-07,0.0,9.0,0.0,952.0
55,47.0,0.0,47.0,343.19046235084534,333.5149869918823,1.3568438789149274e-07,1.3568438789149274e-07,0.0,0.0,0.0,953.0
56,48.0,0.0,48.0,338.9956748485565,346.9807014465332,9.838073193891646e-08,9.838073193891646e-08,0.0,0.0,0.0,952.0
57,49.0,0.0,49.0,361.68070220947266,324.39689540863037,1.3954063340580537e-07,1.3954063340580537e-07,0.0,3.0,0.0,951.0
58,47.0,0.0,47.0,337.82382011413574,323.8094527721405,1.305842597096833e-07,1.305842597096833e-07,0.0,0.0,0.0,953.0
59,47.0,0.0,47.0,330.159868478775,305.3896143436432,1.7418236913605406e-07,1.7418236913605406e-07,0.0,0.0,0.0,953.0
60,50.0,0.0,50.0,356.9590780735016,350.20606303215027,1.718865916351147e-07,1.718865916351147e-07,0.0,0.0,0.0,950.0
61,48.0,0.0,48.0,361.70031356811523,326.4543662071228,1.441852250490175e-07,1.441852250490175e-07,0.0,1.0,0.0,952.0
62,50.0,0.0,50.0,327.8606128692627,312.4640462398529,1.3112882341096774e-07,1.3112882341096774e-07,0.0,1.0,0.0,950.0
63,48.0,0.0,48.0,320.7393493652344,331.5054020881653,9.263384877899622e-08,9.263384877899622e-08,0.0,0.0,0.0,952.0
64,49.0,0.0,49.0,352.6349377632141,334.55434560775757,1.1457149339327576e-07,1.1457149339327576e-07,0.0,0.0,0.0,951.0
65,47.0,0.0,47.0,306.0675859451294,292.46976137161255,8.688924640220025e-08,8.688924640220025e-08,0.0,0.0,0.0,953.0
66,49.0,0.0,49.0,323.8499286174774,322.70379400253296,6.162185700416787e-08,6.162185700416787e-08,0.0,0.0,0.0,951.0
67,48.0,0.0,48.0,346.74807953834534,330.6487956047058,1.5809170499035044e-07,1.5809170499035044e-07,0.0,3.0,0.0,952.0
68,49.0,0.0,49.0,329.57991909980774,313.2479031085968,1.1506626676836371e-07,1.1506626676836371e-07,0.0,2.0,0.0,951.0
69,49.0,0.0,49.0,325.99801754951477,306.278352022171,1.0474910528277069e-07,1.0474910528277069e-07,0.0,16.0,0.0,951.0
70,47.0,0.0,47.0,323.2424681186676,302.8155155181885,7.342375864142239e-08,7.342375864142239e-08,0.0,7.0,1.0,953.0
71,50.0,0.0,50.0,308.31079626083374,313.8520703315735,7.356086244933196e-08,7.356086244933196e-08,0.0,1.0,0.0,950.0
72,49.0,0.0,49.0,335.7898235321045,343.2176036834717,1.7824319650452592e-07,1.7824319650452592e-07,0.0,1.0,0.0,951.0
73,46.0,0.0,46.0,341.81743025779724,312.24770975112915,9.245808744010688e-08,9.245808744010688e-08,0.0,15.0,0.0,954.0
74,49.0,0.0,49.0,323.6388499736786,334.84727358818054,1.1011265267219359e-07,1.1011265267219359e-07,0.0,2.0,0.0,951.0
75,49.0,0.0,49.0,331.6602621078491,333.18077206611633,1.1587624112545111e-07,1.1587624112545111e-07,0.0,0.0,0.0,951.0
76,50.0,0.0,50.0,344.086496591568,323.2686755657196,1.63725619904986e-07,1.63725619904986e-07,0.0,2.0,0.0,950.0
77,48.0,0.0,48.0,334.1733663082123,329.3153691291809,7.269498882319602e-08,7.269498882319602e-08,0.0,2.0,0.0,952.0
78,49.0,0.0,49.0,317.39433670043945,318.262943983078,7.982528505530274e-08,7.982528505530274e-08,0.0,3.0,0.0,951.0
79,50.0,0.0,50.0,322.4702739715576,302.65589785575867,9.645319246121916e-08,9.645319246121916e-08,0.0,1.0,0.0,950.0
80,50.0,0.0,50.0,314.81400203704834,302.8375976085663,9.715033195413108e-08,9.715033195413108e-08,0.0,3.0,0.0,950.0
81,48.0,0.0,48.0,315.47727632522583,311.48331212997437,1.7138877854616945e-07,1.7138877854616945e-07,0.0,5.0,1.0,952.0
82,49.0,0.0,49.0,339.8578381538391,337.4523732662201,8.805704039703493e-08,8.805704039703493e-08,0.0,2.0,0.0,951.0
