,2,2,3,3,4,4
,0.01,0.1,0.01,0.1,0.01,0.1
Nelder-Mead,0.0020881186051367718,0.0,0.001252871163082063,0.0,0.0,0.0
Powell,0.0020881186051367718,0.0,0.001252871163082063,0.0,0.0,0.0
BFGS,0.0020881186051367718,0.0,0.001252871163082063,0.0,0.0,0.0
L-BFGS-B,0.0020881186051367718,0.0,0.001252871163082063,0.0,0.0,0.0
SLSQP,0.0020881186051367718,0.0,0.001252871163082063,0.0,0.0,0.0
CG,0.0020881186051367718,0.0,0.001252871163082063,0.0,0.0,0.0
TNC,0.0020881186051367718,0.0,0.001252871163082063,0.0,0.0,0.0
COBYLA,0.0020881186051367718,0.0,0.001252871163082063,0.0,0.0,0.0
Brent,0.0020881186051367718,0.0,0.001252871163082063,0.0,0.0,0.0
Golden,0.0020881186051367718,0.0,0.001252871163082063,0.0,0.0,0.0
