,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region
0,50.0,750.0,50.0,83.52639198303223,100.0459988117218,8.733713713625551e-08,8.733713713625551e-08,0.0,0.0
1,50.0,759.0,50.0,87.88448977470398,99.91782307624817,8.138383210792592e-08,8.138383210792592e-08,0.0,0.0
2,50.0,829.0,50.0,89.4319212436676,96.41152119636536,6.034043130646188e-08,6.034043130646188e-08,0.001,0.0
3,50.0,846.0,50.0,90.59284353256226,95.61363458633423,8.894155128105625e-08,8.894155128105625e-08,0.0,0.0
4,49.0,835.0,49.0,87.0745120048523,93.8487639427185,7.590670083163164e-08,7.590670083163164e-08,0.0,0.0
5,50.0,839.0,50.0,93.18243837356567,97.37238073348999,7.580871482119697e-08,7.580871482119697e-08,0.0,0.0
6,50.0,805.0,50.0,86.13040590286255,93.97093343734741,8.042308540294304e-08,8.042308540294304e-08,0.001,0.0
7,49.0,796.0,49.0,87.23154902458191,96.14397382736206,7.559724662663624e-08,7.559724662663624e-08,0.0,0.0
8,50.0,805.0,50.0,87.90042328834534,96.79828095436096,4.481431131134479e-08,4.481431131134479e-08,0.0,0.0
9,50.0,772.0,50.0,84.58043098449707,95.49681997299194,4.69494069801079e-08,4.69494069801079e-08,0.0,0.0
10,49.0,802.0,49.0,85.63298535346985,95.03483867645264,8.091354401672097e-08,8.091354401672097e-08,0.0,0.0
11,50.0,708.0,50.0,79.68954157829285,96.98198938369751,4.414135077324773e-08,4.414135077324773e-08,0.0,0.0
12,47.0,799.0,47.0,86.63114094734192,96.12576985359192,5.85198884187011e-08,5.85198884187011e-08,0.0,0.0
13,49.0,823.0,49.0,88.07467770576477,95.34594702720642,8.337971990363498e-08,8.337971990363498e-08,0.0,0.0
14,50.0,771.0,50.0,84.7390079498291,95.97411680221558,5.053775526625758e-08,5.053775526625758e-08,0.0,0.0
15,49.0,762.0,49.0,85.11273860931396,98.00920724868774,8.716026581644715e-08,8.716026581644715e-08,0.0,0.0
16,49.0,838.0,49.0,91.95739078521729,97.75738739967346,4.7974591860668864e-08,4.7974591860668864e-08,0.0,0.0
17,47.0,824.0,47.0,90.23046517372131,97.86664342880249,8.344971039165857e-08,8.344971039165857e-08,0.0,0.0
18,48.0,798.0,48.0,84.82374286651611,94.25600910186768,3.599549474607765e-08,3.599549474607765e-08,0.001,0.0
19,49.0,754.0,49.0,84.65411281585693,98.01655387878418,3.612324386175329e-08,3.612324386175329e-08,0.0,0.0
20,50.0,803.0,50.0,87.63780689239502,96.23057103157043,8.743721753935602e-08,8.743721753935602e-08,0.0,0.0
21,48.0,812.0,48.0,87.73889470100403,95.98709440231323,6.217514800383161e-08,6.217514800383161e-08,0.001,0.0
22,49.0,806.0,49.0,89.54868507385254,99.64353680610657,8.5296056973825e-08,8.5296056973825e-08,0.001,0.0
23,48.0,786.0,48.0,84.69986248016357,95.45382809638977,5.326988345924492e-08,5.326988345924492e-08,0.0,0.0
24,49.0,846.0,49.0,90.68088555335999,95.7665605545044,6.224686896624047e-08,6.224686896624047e-08,0.002,0.0
25,50.0,825.0,50.0,88.43123054504395,96.4250237941742,5.6199691795130214e-08,5.6199691795130214e-08,0.0,0.0
26,48.0,804.0,48.0,87.21702551841736,96.69692540168762,6.063840819338648e-08,6.063840819338648e-08,0.0,0.0
27,49.0,833.0,49.0,90.59419775009155,96.88621401786804,5.757955294582486e-08,5.757955294582486e-08,0.0,0.0
28,49.0,819.0,49.0,88.39927268028259,96.64771556854248,6.030657053892504e-08,6.030657053892504e-08,0.0,0.0
